# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
LEDCDB_06700	cds	1	561	+	GOIOJP_32095		chromosome replication/partitioning protein	SO:0001217, UniRef:UniRef50_A0A7W9SKA7, UniRef:UniRef90_Q9S063
LEDCDB_06715	cds	1	687	+	GOIOJP_32100	bptA	Protein BptA	RefSeq:WP_010890371.1, SO:0001217, UniParc:UPI000005689C, UniRef:UniRef100_O50802, UniRef:UniRef50_O50802, UniRef:UniRef90_O50802
LEDCDB_06730	cds	1	258	+	GOIOJP_32105		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI001C010934
LEDCDB_06760	cds	1	498	+	GOIOJP_32110		Uncharacterized protein BB_K41	RefSeq:WP_044283655.1, SO:0001217, UniParc:UPI000005698A, UniRef:UniRef100_O50843, UniRef:UniRef50_O50843, UniRef:UniRef90_O50843
LEDCDB_06810	cds	1	462	+	GOIOJP_32115		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A806CB05
LEDCDB_06855	cds	1	342	+	GOIOJP_32120		hypothetical protein	SO:0001217, UniRef:UniRef50_UPI000E295F27, UniRef:UniRef90_UPI000E295F27
LEDCDB_06915	cds	1	174	+	GOIOJP_32125		hypothetical protein	
LEDCDB_06945	cds	1	258	+	GOIOJP_32130		DUF1473 domain-containing protein	SO:0001217, UniRef:UniRef50_UPI001AEE9410, UniRef:UniRef90_UPI001B34FA0D
PFKKPM_04860	cds	1	243	+	GOIOJP_32135		DUF871 domain-containing protein	SO:0001217, UniRef:UniRef50_UPI0009D4B210
PFKKPM_04980	cds	1	348	+	GOIOJP_32140	celC	Phosphotransferase system cellobiose-specific component IIA	COG:COG1447, COG:G, RefSeq:WP_010258204.1, SO:0001217, UniParc:UPI0000056954, UniRef:UniRef100_H7C637, UniRef:UniRef50_H7C637, UniRef:UniRef90_H7C637
PFKKPM_05550	cds	1	552	+	GOIOJP_32145		P52 family lipoprotein	RefSeq:WP_015899370.1, SO:0001217, UniParc:UPI00017F4159, UniRef:UniRef100_UPI00017F4159, UniRef:UniRef50_Q0SKX6, UniRef:UniRef90_O50894
PFKKPM_05580	cds	1	252	+	GOIOJP_32150		Site-specific DNA-methyltransferase (adenine-specific)	SO:0001217, UniRef:UniRef50_A0A1L6VRZ8
PFKKPM_05850	cds	1	777	+	GOIOJP_32155	bppC1	Site-specific recombinase, phage integrase family, BppC1 protein	RefSeq:WP_012663364.1, SO:0001217, UniParc:UPI00017F3CDA, UniRef:UniRef100_UPI00017F3CDA, UniRef:UniRef50_C0R8V3, UniRef:UniRef90_Q9S0J2
PFKKPM_05955	cds	1	573	+	GOIOJP_32160		DUF228 domain-containing protein	RefSeq:WP_010257433.1, SO:0001217, UniParc:UPI00000576CB, UniRef:UniRef100_A0A7U4DIN8, UniRef:UniRef50_A0A0H3BZR0, UniRef:UniRef90_A0A0H3C3B0
PFKKPM_06090	cds	1	567	+	GOIOJP_32165		hypothetical protein	RefSeq:WP_010883820.1, SO:0001217, UniParc:UPI00000576C6, UniRef:UniRef100_Q9S0A4, UniRef:UniRef90_Q9S073
PFKKPM_06110	cds	1	588	+	GOIOJP_32170		KID repeat family protein	RefSeq:WP_012663395.1, SO:0001217, UniParc:UPI00017F432D, UniRef:UniRef100_Q9S084, UniRef:UniRef50_B9X990, UniRef:UniRef90_A0A1L6VRN0
PFKKPM_06165	cds	1	384	+	GOIOJP_32175		DUF1506 domain-containing protein	RefSeq:WP_002658726.1, SO:0001217, UniParc:UPI0000442FB7, UniRef:UniRef100_Q9R2M2, UniRef:UniRef50_Q9R2M2, UniRef:UniRef90_Q9R2M2
PFKKPM_06170	cds	1	231	+	GOIOJP_32180		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A1G4Q628, UniRef:UniRef90_A0A1G4Q628
PFKKPM_06220	cds	1	1071	+	GOIOJP_32185		Variable large protein	SO:0001217, UniRef:UniRef50_Q5DVG3, UniRef:UniRef90_Q5DVG3
PFKKPM_06380	cds	1	333	+	GOIOJP_32190		DUF685 domain-containing protein	SO:0001217, UniRef:UniRef50_UPI001AF00554, UniRef:UniRef90_UPI001E350A93
NCOCKI_05430	cds	1	573	+	GOIOJP_32195		CRASP family complement regulator-acquiring lipoprotein	SO:0001217, UniRef:UniRef50_Q0SLP0, UniRef:UniRef90_UPI0022AABC1B
NCOCKI_05775	cds	1	300	+	GOIOJP_32200		plasmid maintenance protein	RefSeq:WP_044283653.1, SO:0001217, UniParc:UPI0000056986, UniRef:UniRef100_UPI0000056986, UniRef:UniRef50_O50663, UniRef:UniRef90_UPI0000056986
NCOCKI_05790	cds	1	3837	+	GOIOJP_32205	yeeA	Type II restriction/modification system, endonuclease and methylase domains	COG:COG1002, COG:V, RefSeq:WP_010890314.1, SO:0001217, UniParc:UPI0000056814, UniRef:UniRef100_O50667, UniRef:UniRef50_A0A1L4DGG5, UniRef:UniRef90_O50667
NCOCKI_06335	cds	1	567	+	GOIOJP_32210		DUF764 domain-containing protein	SO:0001217, UniRef:UniRef50_Q9S052, UniRef:UniRef90_Q9S052
NCOCKI_06415	cds	1	474	+	GOIOJP_32215	cdsC	CdsC	RefSeq:WP_010890249.1, SO:0001217, UniParc:UPI000005696C, UniRef:UniRef100_P70833, UniRef:UniRef50_G0ITI5, UniRef:UniRef90_A0A7U4DJ18
NCOCKI_06515	cds	1	438	+	GOIOJP_32220	mlpG	Lipoprotein MlpG	GO:0009279, RefSeq:WP_012621269.1, SO:0001217, UniParc:UPI00016B3B9A, UniRef:UniRef100_UPI00016B3B9A, UniRef:UniRef50_H7C7P1, UniRef:UniRef90_Q9S083
NCOCKI_06520	cds	1	816	+	GOIOJP_32225		DUF685 domain-containing protein	RefSeq:WP_010883778.1, SO:0001217, UniParc:UPI000005768F, UniRef:UniRef100_Q9S0F1, UniRef:UniRef50_Q9R344, UniRef:UniRef90_Q9S0F1
NCOCKI_06525	cds	1	816	+	GOIOJP_32230		DUF685 domain-containing protein	RefSeq:WP_012662352.1, SO:0001217, UniParc:UPI00017F45F8, UniRef:UniRef100_UPI00017F45F8, UniRef:UniRef50_Q9R344, UniRef:UniRef90_Q9R344
NCOCKI_06550	cds	1	498	+	GOIOJP_32235		hypothetical protein	SO:0001217, UniRef:UniRef50_G0ANT6
NCOCKI_06600	cds	1	330	+	GOIOJP_32240		hypothetical protein	
MDIKAG_01775	cds	1	519	+	GOIOJP_32245	parA	ParA family protein	RefSeq:WP_233185726.1, SO:0001217, UniParc:UPI001E3A22A4, UniRef:UniRef100_UPI001E3A22A4, UniRef:UniRef50_A0A7U8EX50, UniRef:UniRef90_UPI001E3A22A4
MDIKAG_04020	cds	1	324	+	GOIOJP_32250		Borrelia ORF-A	RefSeq:WP_042345013.1, SO:0001217, UniParc:UPI0002D661AD, UniRef:UniRef100_UPI0002D661AD, UniRef:UniRef50_O50663, UniRef:UniRef90_O50663
MDIKAG_04985	cds	1	378	+	GOIOJP_32255		plasmid maintenance protein	RefSeq:WP_012665965.1, SO:0001217, UniParc:UPI000195E0EB, UniRef:UniRef100_UPI000195E0EB, UniRef:UniRef50_O50855, UniRef:UniRef90_UPI000D030027
MDIKAG_05245	cds	1	1530	+	GOIOJP_32260		hypothetical protein	
MDIKAG_05260	cds	1	3567	+	GOIOJP_32265		variable large family protein	SO:0001217, UniRef:UniRef50_UPI001E304EA2
MDIKAG_05265	cds	1	1845	+	GOIOJP_32270		Borrelia lipoprotein	SO:0001217, UniRef:UniRef50_B8F1F6
MDIKAG_05290	cds	1	291	+	GOIOJP_32275		BBC07	RefSeq:WP_106007504.1, SO:0001217, UniParc:UPI000D02EED7, UniRef:UniRef100_UPI000D02EED7, UniRef:UniRef50_O50971, UniRef:UniRef90_A0A7U4DIR8
MDIKAG_05610	cds	1	567	+	GOIOJP_32280		Borrelia family protein	RefSeq:WP_010258842.1, SO:0001217, UniParc:UPI00016C45F2, UniRef:UniRef100_A0A7U3YAT6, UniRef:UniRef50_O50730, UniRef:UniRef90_Q9S041
MDIKAG_05780	cds	1	456	+	GOIOJP_32285		DUF3890 domain-containing protein	SO:0001217, UniRef:UniRef50_Q9S053, UniRef:UniRef90_Q9S053
MDIKAG_05835	cds	1	414	+	GOIOJP_32290		DUF685 domain-containing protein	SO:0001217, UniRef:UniRef50_B8F1B9, UniRef:UniRef90_A0A7U3YBC6
MDIKAG_05920	cds	1	768	+	GOIOJP_32295		DUF228 domain-containing protein	RefSeq:WP_012672865.1, SO:0001217, UniParc:UPI00016C4ADB, UniRef:UniRef100_UPI00016C4ADB, UniRef:UniRef50_G5IXI8, UniRef:UniRef90_Q9S054
MDIKAG_05940	cds	1	1014	+	GOIOJP_32300	xtmB	PBSX family phage terminase large subunit	COG:COG1783, COG:X, KEGG:K06909, SO:0001217, UniRef:UniRef50_A0A1L4DGZ1, UniRef:UniRef90_A0A7W9SLR3
MDIKAG_05950	cds	1	555	+	GOIOJP_32305		DUF777 domain-containing protein	RefSeq:WP_012672778.1, SO:0001217, UniParc:UPI00016C3C68, UniRef:UniRef100_UPI00016C3C68, UniRef:UniRef50_A0A0H3C2J1, UniRef:UniRef90_G0ANA6
MDIKAG_05995	cds	1	795	+	GOIOJP_32310		variable large family protein	SO:0001217, UniRef:UniRef50_UPI000D400E22
MDIKAG_06025	cds	1	669	+	GOIOJP_32315		terminase large subunit	SO:0001217, UniRef:UniRef50_I0FEN3, UniRef:UniRef90_UPI001E3B6673
FIFDAA_04575	cds	1	774	+	GOIOJP_32320	osm28	porin Osm28	BlastRules:WP_010257191, RefSeq:WP_010257191.1, SO:0001217, UniParc:UPI0000056943, UniRef:UniRef100_O50963, UniRef:UniRef50_A0A7W9W2V8, UniRef:UniRef90_A0A7W9ZC53
FIFDAA_04590	cds	1	414	+	GOIOJP_32325		complement regulator-acquiring protein	SO:0001217, UniRef:UniRef50_Q5W2B8, UniRef:UniRef90_Q5W2B8
FIFDAA_04600	cds	46	792	+	GOIOJP_32330		Complement regulator acquiring protein 1	SO:0001217, UniRef:UniRef50_Q5W2C0
FIFDAA_04610	cds	46	879	+	GOIOJP_32335		complement regulator-acquiring protein	SO:0001217, UniRef:UniRef50_Q5W2C0, UniRef:UniRef90_Q66Z98
FIFDAA_04625	cds	1	909	+	GOIOJP_32340		complement regulator-acquiring protein	RefSeq:WP_012666046.1, SO:0001217, UniParc:UPI00016C3734, UniRef:UniRef100_A0A9N7AT25, UniRef:UniRef50_A0A0H3BZL5, UniRef:UniRef90_A0A0H3BZL5
FIFDAA_04635	cds	1	624	+	GOIOJP_32345		Ribosomal protein L5	RefSeq:WP_010257147.1, SO:0001217, UniParc:UPI0000056936, UniRef:UniRef100_O50952, UniRef:UniRef50_Q0SLU8, UniRef:UniRef90_O50952
FIFDAA_04675	cds	1	846	+	GOIOJP_32350		Putative outer membrane protein BBA52	GO:0009279, RefSeq:WP_010257112.1, SO:0001217, UniParc:UPI00016B3A27, UniRef:UniRef100_A0A7U4DJ77, UniRef:UniRef50_Q44845, UniRef:UniRef90_Q44845
FIFDAA_04685	cds	1	1398	+	GOIOJP_32355		hypothetical protein	SO:0001217, UniRef:UniRef50_Q0SLV8, UniRef:UniRef90_A0A806CL76
FIFDAA_04695	cds	1	489	+	GOIOJP_32360		DUF1473 domain-containing protein	RefSeq:WP_012666063.1, SO:0001217, UniParc:UPI00017F3F01, UniRef:UniRef100_UPI00017F3F01, UniRef:UniRef50_Q0SLW0, UniRef:UniRef90_O50941
FIFDAA_04715	cds	1	318	+	GOIOJP_32365		Plasmid partition protein	RefSeq:WP_012784231.1, SO:0001217, UniParc:UPI0001AAF0D2, UniRef:UniRef100_UPI0001AAF0D2, UniRef:UniRef50_C0RC50, UniRef:UniRef90_A0A7U3YBP2
FIFDAA_04725	cds	1	453	+	GOIOJP_32370		DUF3890 domain-containing protein	RefSeq:WP_010257716.1, SO:0001217, UniParc:UPI0000056923, UniRef:UniRef100_O50935, UniRef:UniRef50_O50935, UniRef:UniRef90_O50935
FIFDAA_04730	cds	1	918	+	GOIOJP_32375		Cytosolic protein	RefSeq:WP_010257713.1, SO:0001217, UniParc:UPI0000056922, UniRef:UniRef100_O50934, UniRef:UniRef50_O50934, UniRef:UniRef90_O50934
FIFDAA_04735	cds	1	609	+	GOIOJP_32380		Lyme disease proteins of unknown function	SO:0001217, UniRef:UniRef50_O50933, UniRef:UniRef90_O50933
FIFDAA_04745	cds	1	1242	+	GOIOJP_32385		DUF1073 domain-containing protein	COG:COG3567, COG:S, RefSeq:WP_012665573.1, SO:0001217, UniParc:UPI000005691F, UniRef:UniRef100_O50931, UniRef:UniRef50_Q9S0G7, UniRef:UniRef90_G0APF9
FIFDAA_04750	cds	1	606	+	GOIOJP_32390		Lipoprotein	RefSeq:WP_024705801.1, SO:0001217, UniParc:UPI0003F63B36, UniRef:UniRef100_UPI0003F63B36, UniRef:UniRef50_A0A0H3C2A0, UniRef:UniRef90_A0A0H3C2A0
FIFDAA_04755	cds	37	633	+	GOIOJP_32395		Outer surface protein	SO:0001217, UniRef:UniRef50_A0A0A7UWS5, UniRef:UniRef90_H7C630
FIFDAA_04765	cds	1	540	+	GOIOJP_32400		Lipoprotein, putative	RefSeq:WP_012622803.1, SO:0001217, UniParc:UPI00016B3A1D, UniRef:UniRef100_A0A9N7B3I3, UniRef:UniRef50_G0IU46, UniRef:UniRef90_O50926
FIFDAA_04775	cds	73	1353	+	GOIOJP_32405	xtmB	PBSX family phage terminase large subunit	COG:COG1783, COG:X, KEGG:K06909, SO:0001217, UniRef:UniRef50_B5RNS3, UniRef:UniRef90_G0APF1
FIFDAA_04790	cds	1	564	+	GOIOJP_32410	dbpA	decorin-binding protein DbpA	GO:0016020, RefSeq:WP_231010857.1, SO:0001217, UniParc:UPI001E4052ED, UniRef:UniRef100_UPI001E4052ED, UniRef:UniRef50_O50917, UniRef:UniRef90_Q1W5I3
FIFDAA_04810	cds	1	753	+	GOIOJP_32415	parA	ParA-like ATPase involved in chromosome/plasmid partitioning or cellulose biosynthesis protein BcsQ	COG:COG1192, COG:DN, RefSeq:WP_231010809.1, SO:0001217, UniParc:UPI001E2D396D, UniRef:UniRef100_UPI001E2D396D, UniRef:UniRef50_A0A7I6GV51, UniRef:UniRef90_A0A7I6GV51
FIFDAA_04820	cds	1	1197	+	GOIOJP_32420		Peptide transporter	RefSeq:WP_012622799.1, SO:0001217, UniParc:UPI000005690C, UniRef:UniRef100_A0A7U4DJ61, UniRef:UniRef50_A0A7I6GV59, UniRef:UniRef90_A0A7U4DJ61
FIFDAA_04825	cds	1	891	+	GOIOJP_32425	ospB	outer surface lipoprotein OspB	BlastRules:WP_010890379, BlastRules:WP_011187158, BlastRules:WP_011703778, BlastRules:WP_014023200, GO:0009279, GO:0016020, RefSeq:WP_010890379.1, SO:0001217, UniParc:UPI000016E68B, UniRef:UniRef100_P17739, UniRef:UniRef50_P17739, UniRef:UniRef90_P17739
FIFDAA_04840	cds	13	426	+	GOIOJP_32430		Borrelia hemolysin accessory protein	SO:0001217, UniRef:UniRef50_A0A1G4Q152, UniRef:UniRef90_O50907
FIFDAA_04850	cds	1	1035	+	GOIOJP_32435		Lipoprotein	RefSeq:WP_106011670.1, SO:0001217, UniParc:UPI000D030560, UniRef:UniRef100_UPI000D030560, UniRef:UniRef50_O50905, UniRef:UniRef90_O50905
FIFDAA_04860	cds	1	873	+	GOIOJP_32440		DUF276 domain-containing protein	RefSeq:WP_106023673.1, SO:0001217, UniParc:UPI000D023D26, UniRef:UniRef100_UPI000D023D26, UniRef:UniRef50_O50903, UniRef:UniRef90_O50903
FIFDAA_04875	cds	1	1254	+	GOIOJP_32445		Antigen, S1	RefSeq:WP_010258562.1, SO:0001217, UniParc:UPI0000056900, UniRef:UniRef100_O50899, UniRef:UniRef50_A0A0A7UWU7, UniRef:UniRef90_A0A1L6VWG8
FIFDAA_04880	cds	1	849	+	GOIOJP_32450		S2/P23 family protein	SO:0001217, UniRef:UniRef50_A0A0A7UZ51, UniRef:UniRef90_Q45038
FIFDAA_04890	cds	1	486	+	GOIOJP_32455		P13 family porin	RefSeq:WP_010258574.1, SO:0001217, UniParc:UPI00000568FC, UniRef:UniRef100_A0A7U3YBP1, UniRef:UniRef50_A0A7I6GV36, UniRef:UniRef90_A0A1L6VVE0
FIFDAA_04895	cds	1	783	+	GOIOJP_32460		PF-32 protein	KEGG:K03496, RefSeq:WP_010256782.1, SO:0001217, UniParc:UPI00000B1715, UniRef:UniRef100_Q8RKU5, UniRef:UniRef50_A0A7I6GV51, UniRef:UniRef90_Q8VS46
FIFDAA_05750	cds	1	699	+	GOIOJP_32465		variable large family protein	SO:0001217, UniRef:UniRef50_UPI001AEFED5C, UniRef:UniRef90_UPI001E4EE4C8
FIFDAA_05940	cds	1	537	+	GOIOJP_32470		Cytosolic protein	RefSeq:WP_012622688.1, SO:0001217, UniParc:UPI00016B3786, UniRef:UniRef100_A0A7U4DIV1, UniRef:UniRef50_G0ITM6, UniRef:UniRef90_G0AP08
FIFDAA_05965	cds	1	537	+	GOIOJP_32475		Cytosolic protein	RefSeq:WP_012622688.1, SO:0001217, UniParc:UPI00016B3786, UniRef:UniRef100_A0A7U4DIV1, UniRef:UniRef50_G0ITM6, UniRef:UniRef90_G0AP08
FIFDAA_06295	cds	1	906	+	GOIOJP_32480		Immunogenic protein P37	SO:0001217, UniRef:UniRef50_O50846
FIFDAA_06305	cds	1	348	+	GOIOJP_32485		ORF12/BlyB	RefSeq:WP_010258053.1, SO:0001217, UniParc:UPI00017F3A74, UniRef:UniRef100_UPI00017F3A74, UniRef:UniRef50_C0R8H9, UniRef:UniRef90_Q9L9N4
FIFDAA_06310	cds	1	336	+	GOIOJP_32490		Borrelia BBR25 lipoprotein	RefSeq:WP_010258057.1, SO:0001217, UniParc:UPI00017F3A75, UniRef:UniRef100_UPI00017F3A75, UniRef:UniRef50_C0R8I0, UniRef:UniRef90_A0A1L6VUP4
FIFDAA_06320	cds	1	642	+	GOIOJP_32495		KID repeat family protein	RefSeq:WP_010259077.1, SO:0001217, UniParc:UPI00017F33D8, UniRef:UniRef100_UPI00017F33D8, UniRef:UniRef50_A0A1L6VRP4, UniRef:UniRef90_A0A1L6VRP4
FIFDAA_06330	cds	1	999	+	GOIOJP_32500	erpD	ErpD protein	RefSeq:WP_106011236.1, SO:0001217, UniParc:UPI000D032ADF, UniRef:UniRef100_UPI000D032ADF, UniRef:UniRef50_G5IXI1, UniRef:UniRef90_G5IXI1
FIFDAA_06490	cds	1	633	+	GOIOJP_32505	bdrA	BdrA protein	RefSeq:WP_010883737.1, SO:0001217, UniParc:UPI0000057656, UniRef:UniRef100_Q45025, UniRef:UniRef50_A0A1L6VSD7, UniRef:UniRef90_Q45025
FIFDAA_06495	cds	1	558	+	GOIOJP_32510		chromosome replication/partitioning protein	RefSeq:WP_010883736.1, SO:0001217, UniParc:UPI00000AE8A0, UniRef:UniRef100_Q8GL30, UniRef:UniRef50_C0R8P0, UniRef:UniRef90_A0A7W9W4L0
FIFDAA_06845	cds	1	399	+	GOIOJP_32515		CobQ/CobB/MinD/ParA nucleotide binding domain protein	SO:0001217, UniRef:UniRef50_C0R910
FIFDAA_06850	cds	1	630	+	GOIOJP_32520		Outer surface protein C	RefSeq:WP_106022723.1, SO:0001217, UniParc:UPI00000AFC61, UniRef:UniRef100_Q44883, UniRef:UniRef50_Q07337, UniRef:UniRef90_Q44883
FIFDAA_06855	cds	1	768	+	GOIOJP_32525		hypothetical protein	
FIFDAA_06860	cds	1	525	+	GOIOJP_32530		chromosome replication/partitioning protein	RefSeq:WP_010257945.1, SO:0001217, UniParc:UPI00000B1E9F, UniRef:UniRef100_A0A9N7AMF1, UniRef:UniRef50_W5SJB9, UniRef:UniRef90_A0A7W9SK64
FIFDAA_06880	cds	1	375	+	GOIOJP_32535		Borrelia ORF-A	RefSeq:WP_010883948.1, SO:0001217, UniParc:UPI00017F317D, UniRef:UniRef100_Q9S020, UniRef:UniRef50_O50855, UniRef:UniRef90_Q9S020
FIFDAA_06910	cds	1	420	+	GOIOJP_32540		Putative plasmid partition protein	SO:0001217, UniRef:UniRef50_A0A806CN64
FIFDAA_06940	cds	1	462	+	GOIOJP_32545		hypothetical protein	
FIFDAA_06965	cds	1	282	+	GOIOJP_32550		transposase	SO:0001217, UniRef:UniRef50_UPI001E65152B
AMNIDF_04675	cds	1	372	+	GOIOJP_32555		Borrelia ORF-A	RefSeq:WP_015056334.1, SO:0001217, UniParc:UPI0001F23A94, UniRef:UniRef100_A0A9N7G593, UniRef:UniRef50_Q9S029, UniRef:UniRef90_A0A9N7G593
AMNIDF_04750	cds	1	186	+	GOIOJP_32560		hypothetical protein	
AMNIDF_05120	cds	13	1044	+	GOIOJP_32565		Glutamyl/glutaminyl-tRNA synthetase	SO:0001217, UniRef:UniRef50_A0A7X0DRS2
AMNIDF_05740	cds	1	426	+	GOIOJP_32570	cdsC	CdsC	RefSeq:WP_233185542.1, SO:0001217, UniParc:UPI001E64E42F, UniRef:UniRef100_UPI001E64E42F, UniRef:UniRef50_O50662, UniRef:UniRef90_O50662
AMNIDF_05745	cds	1	324	+	GOIOJP_32575		Borrelia ORF-A	RefSeq:WP_012614966.1, SO:0001217, UniParc:UPI00016B309D, UniRef:UniRef100_A0A7U3YBJ5, UniRef:UniRef50_O50663, UniRef:UniRef90_O50663
AMNIDF_05755	cds	1	2115	+	GOIOJP_32580		hypothetical protein	
AMNIDF_06320	cds	1	1311	+	GOIOJP_32585		DUF759 domain-containing protein	RefSeq:WP_015056653.1, SO:0001217, UniParc:UPI0001F23AA2, UniRef:UniRef100_A0A9N7G5F2, UniRef:UniRef50_B9X9A3, UniRef:UniRef90_A0A7I6GXK3
AMNIDF_06470	cds	1	498	+	GOIOJP_32590		hypothetical protein	SO:0001217, UniRef:UniRef50_G0ANT6, UniRef:UniRef90_A0A7W9ZP10
AMNIDF_06545	cds	1	201	+	GOIOJP_32595		hypothetical protein	
KBHFML_05240	cds	1	336	+	GOIOJP_32600		Borrelia BBR25 lipoprotein	RefSeq:WP_002658486.1, SO:0001217, UniParc:UPI0000057690, UniRef:UniRef100_Q44825, UniRef:UniRef50_C0R8I0, UniRef:UniRef90_A0A1L8Z9L9
KBHFML_05390	cds	1	1125	+	GOIOJP_32605		variable large family protein	RefSeq:WP_217821130.1, SO:0001217, UniParc:UPI001C3920F7, UniRef:UniRef100_UPI001C3920F7, UniRef:UniRef50_UPI001C3920F7, UniRef:UniRef90_UPI001C3920F7
KBHFML_05455	cds	1	948	+	GOIOJP_32610		Erf family protein	RefSeq:WP_123772114.1, SO:0001217, UniParc:UPI000044302D, UniRef:UniRef100_A0A7I6GXZ8, UniRef:UniRef50_A0A0H3C315, UniRef:UniRef90_A0A0H3C315
KBHFML_05555	cds	1	366	+	GOIOJP_32615		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A806C6L0
KBHFML_05680	cds	1	948	+	GOIOJP_32620		Erf family protein	SO:0001217, UniRef:UniRef50_A0A0H3C315
KBHFML_05690	cds	1	450	+	GOIOJP_32625		Cytosolic protein	SO:0001217, UniRef:UniRef50_W6TJQ2
KBHFML_05695	cds	1	1227	+	GOIOJP_32630		Phage tail tape measure protein	SO:0001217, UniRef:UniRef50_B9X9A3
LMDBHP_04670	cds	1	750	+	GOIOJP_32635		Antigen, P35, putative	RefSeq:WP_010256558.1, SO:0001217, UniParc:UPI0000056828, UniRef:UniRef100_O50687, UniRef:UniRef50_O50687, UniRef:UniRef90_O50687
LMDBHP_05895	cds	1	423	+	GOIOJP_32640	mlpG	Lipoprotein MlpG	GO:0009279, RefSeq:WP_010883847.1, SO:0001217, UniParc:UPI00000576DC, UniRef:UniRef100_Q9S083, UniRef:UniRef50_H7C7P1, UniRef:UniRef90_Q9S083
LMDBHP_05905	cds	1	354	+	GOIOJP_32645		Outer membrane protein	RefSeq:WP_010883869.1, SO:0001217, UniParc:UPI00016C4883, UniRef:UniRef100_Q9R397, UniRef:UniRef50_C0R8I1, UniRef:UniRef90_A0A1L6VUQ8
LMDBHP_06325	cds	1	1137	+	GOIOJP_32650		Erp51 protein	RefSeq:WP_010883724.1, SO:0001217, UniParc:UPI000005765B, UniRef:UniRef100_O08264, UniRef:UniRef50_O08264, UniRef:UniRef90_O08264
LMDBHP_06675	cds	1	990	+	GOIOJP_32655		Borrelia family protein PFam57/62	SO:0001217, UniRef:UniRef50_A0A1L8ZA04, UniRef:UniRef90_A0A7U3YBJ6
LMDBHP_06780	cds	1	456	+	GOIOJP_32660		hypothetical protein	
LMDBHP_06795	cds	1	456	+	GOIOJP_32665		DNA (cytosine-5-)-methyltransferase	SO:0001217, UniRef:UniRef50_A0A0F3MR65
LMDBHP_06860	cds	1	447	+	GOIOJP_32670		hypothetical protein	
LMDBHP_06890	cds	1	270	+	GOIOJP_32675		DUF228 domain-containing protein	SO:0001217, UniRef:UniRef50_UPI001AEF836D
LMDBHP_06900	cds	1	432	+	GOIOJP_32680		hypothetical protein	
IDOJHL_05800	cds	1	567	+	GOIOJP_32685		Borrelia family protein	RefSeq:WP_012621396.1, SO:0001217, UniParc:UPI00016B2950, UniRef:UniRef100_A0A9N7G3L1, UniRef:UniRef50_O50730, UniRef:UniRef90_Q9S041
IDOJHL_06440	cds	1	660	+	GOIOJP_32690		DUF1073 domain-containing protein	SO:0001217, UniRef:UniRef50_UPI000D4F301C, UniRef:UniRef90_UPI000D4F301C
IDOJHL_06545	cds	1	333	+	GOIOJP_32695		DUF2634 domain-containing protein	RefSeq:WP_010883875.1, SO:0001217, UniParc:UPI0000057708, UniRef:UniRef100_Q9S047, UniRef:UniRef50_Q9S047, UniRef:UniRef90_Q9S047
IDOJHL_06560	cds	1	339	+	GOIOJP_32700		hypothetical protein	
FHMDHP_00210	cds	1	1440	+	GOIOJP_32705		DNA polymerase I	SO:0001217, UniRef:UniRef50_W5SRA0
FHMDHP_00440	cds	1	1722	+	GOIOJP_32710	ptsI	Phosphoenolpyruvate-protein phosphotransferase	COG:COG1080, COG:G, EC:2.7.3.9, GO:0005737, GO:0008965, GO:0009401, GO:0016301, GO:0016310, GO:0046872, RefSeq:WP_002656738.1, SO:0001217, UniParc:UPI0000057515, UniRef:UniRef100_O51508, UniRef:UniRef50_O51508, UniRef:UniRef90_O51508
FHMDHP_00470	cds	1	1983	+	GOIOJP_32715	ligA	NAD-dependent DNA ligase LigA	COG:COG0272, COG:L, EC:6.5.1.2, GO:0003677, GO:0003911, GO:0006260, GO:0006281, GO:0006310, GO:0046872, RefSeq:WP_002656799.1, SO:0001217, UniParc:UPI00016B2D99, UniRef:UniRef100_UPI00016B2D99, UniRef:UniRef50_O51502, UniRef:UniRef90_O51502
FHMDHP_00490	cds	1	1284	+	GOIOJP_32720	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	COG:COG0766, COG:M, EC:2.5.1.7, GO:0005737, GO:0007049, GO:0008360, GO:0008760, GO:0009252, GO:0019277, GO:0051301, GO:0071555, KEGG:K00790, RefSeq:WP_002656466.1, SO:0001217, UniParc:UPI000012F903, UniRef:UniRef100_O51428, UniRef:UniRef50_O51428, UniRef:UniRef90_O51428
FHMDHP_00835	cds	1	525	+	GOIOJP_32725		hypothetical protein	
FHMDHP_00905	cds	1	1368	+	GOIOJP_32730	dnaB	replicative DNA helicase	COG:COG0305, COG:L, EC:3.6.4.12, GO:0003678, GO:0006260, RefSeq:WP_002656583.1, SO:0001217, UniParc:UPI000005735B, UniRef:UniRef100_O51138, UniRef:UniRef50_O51138, UniRef:UniRef90_O51138
