DMPBEC_00005	Uncharacterized protein BB_0001
LNEFEP_05170	group_3086
LNEFEP_05185	group_2896
LNEFEP_05190	group_706
LNEFEP_05200	group_811
LNEFEP_05210	group_1308
LNEFEP_05215	group_284
LNEFEP_05220	group_163
LNEFEP_05230	group_2867
LNEFEP_05235	group_652
LNEFEP_05240	group_352
LNEFEP_05245	group_3633
LNEFEP_05250	group_319
LNEFEP_05255	group_3783
LNEFEP_05260	group_803
LNEFEP_05265	group_3186
LNEFEP_05270	group_2740
LNEFEP_05275	group_2611
LNEFEP_05280	group_3820
LNEFEP_05285	group_3872
LNEFEP_05290	group_3515
LNEFEP_05295	group_3202
LNEFEP_05305	group_3544
LNEFEP_05310	group_98
LNEFEP_05325	Bbk2-11
LNEFEP_05340	group_3313
LNEFEP_05345	group_1998
LNEFEP_05350	group_1999
LNEFEP_05355	group_1555
LNEFEP_05365	group_260
LNEFEP_05370	group_198
LNEFEP_05375	group_1556
LNEFEP_05380	group_234
LNEFEP_05395	group_2768
LNEFEP_05400	group_2646
LNEFEP_05405	group_3371
LNEFEP_05410	group_460
LNEFEP_05415	group_2575
LNEFEP_05420	group_3140
LNEFEP_05425	Type I restriction enzyme R protein (HSDR_N)
LNEFEP_05430	group_1309
LNEFEP_05435	group_1039
LNEFEP_05440	Virulent strain associated lipoprotein
LNEFEP_05445	group_2000
LNEFEP_05450	group_1105
LNEFEP_05455	Multidrug-efflux transporter-like protein
LNEFEP_05460	group_2002
LNEFEP_05465	group_2003
LNEFEP_05470	Hemolysin accessory protein
LNEFEP_05475	group_2004
LNEFEP_05480	group_1559
LNEFEP_05485	group_1040
LNEFEP_05490	group_2005
LNEFEP_05495	helix-turn-helix domain-containing protein
LNEFEP_05500	group_2007
LNEFEP_05505	group_2008
LNEFEP_05510	ABC transporter permease protein
LNEFEP_05515	group_2010
LNEFEP_05520	group_2011
LNEFEP_05525	group_2012
LNEFEP_05530	group_2013
LNEFEP_05535	group_2014
LNEFEP_05540	group_2074
LNEFEP_05545	group_2015
LNEFEP_05550	group_2016
LNEFEP_05555	Transposase-like protein
LNEFEP_05560	group_2019
LNEFEP_05565	group_2022
LNEFEP_05575	Site-specific DNA-methyltransferase (adenine-specific)
LNEFEP_05600	Borrelia virulent strain associated lipoprotein
LNEFEP_05650	group_2024
LNEFEP_05705	group_2025
LNEFEP_05710	group_2026
LNEFEP_05715	group_1561
LNEFEP_05720	group_395
LNEFEP_05725	Antigen, P35-like protein
LNEFEP_05730	Antigen, P35
LNEFEP_05735	group_1562
LNEFEP_05740	group_1563
LNEFEP_05745	group_1609
LNEFEP_05750	group_2031
LNEFEP_05755	group_2032
LNEFEP_05760	type I site-specific deoxyribonuclease
LNEFEP_05765	group_1564
LNEFEP_05770	group_871
LNEFEP_05775	group_1566
LNEFEP_05780	group_1570
LNEFEP_05785	group_1575
LNEFEP_05790	Glutamyl/glutaminyl-tRNA synthetase
LNEFEP_05795	group_2035
LNEFEP_05800	group_1581
LNEFEP_05835	group_1585
LNEFEP_05935	DnaB-like helicase C-terminal domain-containing protein
LNEFEP_05940	Type I restriction enzyme r protein
LNEFEP_05945	group_1100
LNEFEP_05980	pncA
LNEFEP_05985	Transposase, IS605 family
LNEFEP_05990	Putative transposase DNA-binding domain protein
LNEFEP_05995	group_2088
LNEFEP_06020	group_65
LNEFEP_06025	group_70
LNEFEP_06030	group_971
LNEFEP_06035	group_71
LNEFEP_06040	group_45
LNEFEP_06045	group_46
LNEFEP_06050	group_47
LNEFEP_06055	group_50
LNEFEP_06060	group_51
LNEFEP_06065	group_1586
LNEFEP_06070	group_39
LNEFEP_06075	group_1587
LNEFEP_06080	group_60
LNEFEP_06085	group_61
LNEFEP_06090	group_58
LNEFEP_06095	group_2039
LNEFEP_06100	group_1321
LNEFEP_06125	group_2040
LNEFEP_06130	group_2041
LNEFEP_06135	group_1116
LNEFEP_06140	group_988
LNEFEP_06145	Bdr family repetitive protein
LNEFEP_06150	group_2042
LNEFEP_06155	group_2043
LNEFEP_06160	group_1322
LNEFEP_06165	group_2044
LNEFEP_06170	group_2045
LNEFEP_06175	group_2046
LNEFEP_06180	group_2047
LNEFEP_06185	group_1047
LNEFEP_06190	group_796
LNEFEP_06195	group_1323
LNEFEP_06200	group_1832
LNEFEP_06205	group_1829
LNEFEP_06210	group_942
LNEFEP_06215	group_1009
LNEFEP_06220	group_1270
LNEFEP_06225	group_1266
LNEFEP_06230	group_1490
LNEFEP_06235	group_1488
LNEFEP_06240	group_1232
LNEFEP_06245	group_3829
LNEFEP_06250	group_1231
LNEFEP_06260	group_2048
LNEFEP_06265	group_2049
LNEFEP_06270	group_2050
LNEFEP_06275	group_1352
LNEFEP_06280	group_1588
LNEFEP_06285	group_2051
LNEFEP_06290	CRASP family complement regulator-acquiring lipoprotein
LNEFEP_06295	group_2052
LNEFEP_06300	Adenine deaminase
LNEFEP_06305	adenine deaminase C-terminal domain-containing protein
LNEFEP_06330	group_2053
LNEFEP_06355	Uncharacterized protein BBD24
LNEFEP_06360	group_2058
LNEFEP_06365	group_2851
LNEFEP_06375	group_804
LNEFEP_06380	group_3153
LNEFEP_06390	group_2619
LNEFEP_06395	group_2946
LNEFEP_06400	group_3504
LNEFEP_06420	group_277
LNEFEP_06425	group_374
LNEFEP_06430	phage terminase large subunit
LNEFEP_06435	group_105
LNEFEP_06440	group_2059
LNEFEP_06445	Erp43 protein
LNEFEP_06455	group_2865
LNEFEP_06460	group_3534
LNEFEP_06480	group_2890
LNEFEP_06495	group_1590
LNEFEP_06500	group_2060
LNEFEP_06505	group_3242
LNEFEP_06510	group_3059
LNEFEP_06520	group_2657
LNEFEP_06530	group_256
LNEFEP_06535	group_668
LNEFEP_06540	mlp9
LNEFEP_06545	ORF15/rep
LNEFEP_06560	group_2759
LNEFEP_06565	group_2635
LNEFEP_06570	group_1055
LNEFEP_06575	group_466
LNEFEP_06580	group_3741
LNEFEP_06585	group_3135
LNEFEP_06590	group_683
LNEFEP_06595	group_179
LNEFEP_06600	ORF04
LNEFEP_06605	ORF03
LNEFEP_06625	group_2063
LNEFEP_06630	group_1036
LNEFEP_06635	elpB2
LNEFEP_06640	Erp47 protein
LNEFEP_06650	group_605
LNEFEP_06655	ORF25
LNEFEP_06660	ORF23/BdrA
LNEFEP_06685	group_865
LNEFEP_06690	group_3309
LNEFEP_06695	group_620
LNEFEP_06700	group_1128
LNEFEP_06705	Erp44 protein
LNEFEP_06710	group_990
LNEFEP_06715	group_2065
LNEFEP_06720	mlp10
LNEFEP_06725	group_674
LNEFEP_06735	group_2686
LNEFEP_06750	group_1043
LNEFEP_06755	group_2101
LNEFEP_06760	group_1594
LNEFEP_06765	group_1326
LNEFEP_06770	group_1333
LNEFEP_06775	group_1156
LNEFEP_06780	bdrO
LNEFEP_06785	group_2068
LNEFEP_06790	group_1599
LNEFEP_06795	group_632
LNEFEP_06815	group_3885
LNEFEP_06820	group_615
LNEFEP_06825	group_975
LNEFEP_06830	group_2069
LNEFEP_06835	group_3426
LNEFEP_06840	group_1338
LNEFEP_06845	group_97
LNEFEP_06855	group_1600
LNEFEP_06860	group_816
LNEFEP_06870	group_808
LNEFEP_06875	group_1969
LNEFEP_06880	group_238
LNEFEP_06885	group_2658
LNEFEP_06890	group_435
LNEFEP_06895	group_720
LNEFEP_06905	group_3060
LNEFEP_06910	mlp8
LNEFEP_06915	group_100
HKCNAF_04580	group_1496
HKCNAF_04585	group_1018
HKCNAF_04590	group_548
HKCNAF_04595	group_3033
HKCNAF_04605	group_2645
HKCNAF_04610	group_3378
HKCNAF_04615	group_473
HKCNAF_04620	group_3737
HKCNAF_04625	group_3125
HKCNAF_04635	group_1152
HKCNAF_04640	group_174
HKCNAF_04650	group_658
HKCNAF_04660	group_2831
HKCNAF_04665	group_3803
HKCNAF_04670	group_416
HKCNAF_04675	group_3088
HKCNAF_04685	group_2695
HKCNAF_04700	group_723
HKCNAF_04710	group_448
HKCNAF_04720	group_3366
HKCNAF_04725	group_3335
HKCNAF_04730	Phage protein
HKCNAF_04745	group_976
HKCNAF_04750	group_2864
HKCNAF_04860	group_2073
HKCNAF_04925	group_921
HKCNAF_04930	group_1166
HKCNAF_05285	group_3245
HKCNAF_05305	group_1052
HKCNAF_05310	group_807
HKCNAF_05320	group_499
HKCNAF_05325	group_490
HKCNAF_05340	group_2980
HKCNAF_05345	group_3209
HKCNAF_05355	group_278
HKCNAF_05365	group_109
HKCNAF_05380	group_954
HKCNAF_05390	group_3308
HKCNAF_05410	group_2684
HKCNAF_05515	group_2054
HKCNAF_05635	group_860
HKCNAF_05680	group_764
HKCNAF_05690	group_1945
HKCNAF_05695	group_223
HKCNAF_05700	DNA helicase
HKCNAF_05705	group_1607
HKCNAF_05710	group_225
HKCNAF_05715	group_2077
HKCNAF_05720	group_2078
HKCNAF_05725	group_1608
HKCNAF_05730	group_2079
HKCNAF_05735	group_2080
HKCNAF_05740	dcm
HKCNAF_05745	MvaI/BcnI restriction endonuclease domain-containing protein
HKCNAF_05750	PilZN3 domain-containing protein
HKCNAF_05795	group_2085
HKCNAF_05805	group_1611
HKCNAF_05850	group_2086
HKCNAF_05855	group_2087
HKCNAF_05860	group_1132
HKCNAF_05865	group_3763
HKCNAF_05875	group_1612
HKCNAF_05915	group_1155
HKCNAF_05920	group_1160
HKCNAF_05925	group_1337
HKCNAF_05935	group_3746
HKCNAF_05940	group_464
HKCNAF_05970	group_1035
HKCNAF_05975	group_1059
HKCNAF_05980	group_1604
HKCNAF_05985	group_1041
HKCNAF_05990	group_1560
HKCNAF_05995	group_1319
HKCNAF_06000	group_1613
HKCNAF_06010	group_662
HKCNAF_06015	group_355
HKCNAF_06020	group_2089
HKCNAF_06030	group_846
HKCNAF_06045	group_996
HKCNAF_06055	group_279
HKCNAF_06065	group_3072
HKCNAF_06070	group_582
HKCNAF_06075	group_427
HKCNAF_06090	group_1598
HKCNAF_06095	group_782
HKCNAF_06100	group_970
HKCNAF_06105	group_735
HKCNAF_06110	group_1062
HKCNAF_06115	group_528
HKCNAF_06125	group_129
HKCNAF_06135	group_172
HKCNAF_06145	group_1046
LGOLAD_04440	group_932
LGOLAD_04990	group_3085
LGOLAD_04995	group_401
LGOLAD_05000	group_298
LGOLAD_05005	group_2961
LGOLAD_05010	group_358
LGOLAD_05015	group_2919
LGOLAD_05020	group_151
LGOLAD_05030	ORF05
LGOLAD_05035	group_3701
LGOLAD_05055	group_586
LGOLAD_05225	group_1290
LGOLAD_05235	group_1941
LGOLAD_05240	group_1521
LGOLAD_05245	group_1522
LGOLAD_05265	group_1614
LGOLAD_05380	group_643
LGOLAD_05385	group_2845
LGOLAD_05390	group_751
LGOLAD_05395	group_152
LGOLAD_05400	group_2920
LGOLAD_05405	group_361
LGOLAD_05410	group_2963
LGOLAD_05415	group_302
LGOLAD_05420	group_402
LGOLAD_05435	group_510
LGOLAD_05485	Erp22 protein
LGOLAD_05500	group_3760
LGOLAD_05510	group_31
LGOLAD_05615	group_351
LGOLAD_05630	group_417
LGOLAD_05640	group_3190
LGOLAD_05655	group_876
LGOLAD_05660	group_3498
LGOLAD_05665	group_2972
LGOLAD_05670	group_3200
LGOLAD_05675	group_3350
LGOLAD_05680	group_3546
LGOLAD_05695	group_1343
LGOLAD_05710	group_613
LGOLAD_05715	group_3530
LGOLAD_05720	bdrA
LGOLAD_05735	group_635
LGOLAD_05740	group_621
LGOLAD_05745	group_193
LGOLAD_05755	bdrP
LGOLAD_05760	group_547
LGOLAD_05770	group_3013
LGOLAD_05780	group_1029
LGOLAD_05785	group_2725
LGOLAD_05790	group_2566
LGOLAD_05795	group_838
LGOLAD_05800	group_1091
LGOLAD_05805	group_161
LGOLAD_05825	group_2814
LGOLAD_05850	group_2746
LGOLAD_05860	group_881
LGOLAD_05870	group_2973
LGOLAD_05875	group_3195
LGOLAD_05880	group_3351
LGOLAD_05885	group_3551
LGOLAD_05890	group_96
LGOLAD_05895	group_3430
LGOLAD_05900	group_1341
LGOLAD_05905	group_2071
LGOLAD_05910	group_978
LGOLAD_05915	group_614
LGOLAD_05925	Bdr
LGOLAD_05940	group_3861
LGOLAD_05945	group_263
LGOLAD_05950	group_669
LGOLAD_05955	group_2090
LGOLAD_05960	group_252
LGOLAD_05965	group_539
LGOLAD_05970	group_1449
LGOLAD_05975	group_3014
LGOLAD_05985	group_1027
LGOLAD_05990	group_2728
LGOLAD_05995	group_2567
LGOLAD_06000	group_839
LGOLAD_06005	group_1096
LGOLAD_06010	group_188
LGOLAD_06025	group_2585
LGOLAD_06030	group_3036
LGOLAD_06035	group_3009
LGOLAD_06040	group_2652
LGOLAD_06045	group_588
LGOLAD_06050	group_457
LGOLAD_06055	group_325
LGOLAD_06060	group_840
LGOLAD_06065	group_1097
LGOLAD_06070	group_2846
LGOLAD_06075	group_763
LGOLAD_06080	group_134
LGOLAD_06100	group_3800
LGOLAD_06115	group_727
LGOLAD_06120	group_520
LGOLAD_06130	group_2941
LGOLAD_06140	group_2975
LGOLAD_06145	group_3204
LGOLAD_06150	group_3362
LGOLAD_06155	group_3327
LGOLAD_06160	group_84
LGOLAD_06190	group_25
LGOLAD_06265	group_3128
LGOLAD_06280	group_753
LGOLAD_06290	group_2929
LGOLAD_06295	group_2786
LGOLAD_06305	group_291
LGOLAD_06340	group_2091
LGOLAD_06350	group_3512
LGOLAD_06455	group_910
LGOLAD_06465	group_2617
LGOLAD_06485	group_3811
LGOLAD_06490	group_3797
LGOLAD_06500	group_2796
LGOLAD_06575	group_233
LGOLAD_06620	group_610
LGOLAD_06625	group_1130
LGOLAD_06630	group_2312
LGOLAD_06635	group_1974
LGOLAD_06640	group_85
LGOLAD_06650	group_3358
LGOLAD_06655	group_809
LGOLAD_06875	group_952
LGOLAD_07050	group_449
LGOLAD_07055	group_3592
LGOLAD_07060	group_3871
LGOLAD_07070	group_2905
LGOLAD_07075	group_2697
LGOLAD_07080	group_3184
LGOLAD_07085	group_3460
LGOLAD_07100	group_2819
LGOLAD_07105	group_2791
LGOLAD_07110	group_655
LGOLAD_07115	group_131
LGOLAD_07125	group_2848
LGOLAD_07130	group_3706
LGOLAD_07135	group_3129
LGOLAD_07140	group_3669
LGOLAD_07145	group_2721
LGOLAD_07155	group_2638
LGOLAD_07160	group_3003
LGOLAD_07250	group_3359
LGOLAD_07290	group_1335
LGOLAD_07295	tM2
LGOLAD_07300	group_1597
LGOLAD_07305	group_2104
LGOLAD_07310	group_1042
LGOLAD_07315	TM2 domain protein
LGOLAD_07320	group_1346
LGOLAD_07325	group_2093
LGOLAD_07330	group_1063
LGOLAD_07335	Uncharacterized protein family DUF, BBC12
LGOLAD_07340	group_1347
LGOLAD_07345	group_1617
LGOLAD_07350	group_1167
LGOLAD_07355	group_1173
LGOLAD_07360	group_2094
LGOLAD_07365	BBC05
LGOLAD_07370	group_2095
LGOLAD_07375	BBC07
LGOLAD_07380	group_1987
LGOLAD_07385	group_398
LGOLAD_07475	group_1014
LGOLAD_07810	group_1813
LGOLAD_07885	group_2096
LGOLAD_07890	group_1618
LGOLAD_07895	group_1351
LGOLAD_07900	group_2097
LGOLAD_07905	group_1175
LGOLAD_07910	group_1348
LGOLAD_07915	group_1169
LGOLAD_07920	group_1168
LGOLAD_07925	group_1177
LGOLAD_07930	group_36
LGOLAD_07935	group_1064
LGOLAD_07940	group_1261
ELJNOB_04460	group_538
ELJNOB_04475	group_1318
ELJNOB_04480	group_696
ELJNOB_04945	group_1107
ELJNOB_04950	group_2098
ELJNOB_05055	group_66
ELJNOB_05060	group_67
ELJNOB_05070	group_52
ELJNOB_05090	group_40
ELJNOB_05115	group_59
ELJNOB_05210	group_2099
ELJNOB_05255	Putative restriction/modification enzyme
ELJNOB_05260	group_1568
ELJNOB_05265	group_1572
ELJNOB_05270	group_1577
ELJNOB_05275	group_1060
ELJNOB_05280	group_2100
ELJNOB_05305	group_1172
ELJNOB_05375	group_1159
ELJNOB_05400	group_2018
ELJNOB_05405	group_2021
ELJNOB_05640	group_3543
ELJNOB_05675	group_24
ELJNOB_05715	group_251
ELJNOB_05740	group_3379
ELJNOB_05745	group_452
ELJNOB_05765	group_3860
ELJNOB_05790	group_618
ELJNOB_05830	group_445
ELJNOB_05840	group_3870
ELJNOB_05845	group_707
ELJNOB_05975	group_3249
ELJNOB_05990	group_2634
ELJNOB_05995	group_3372
ELJNOB_06000	group_458
ELJNOB_06010	group_845
ELJNOB_06015	group_1149
ELJNOB_06020	group_166
ELJNOB_06030	group_2869
ELJNOB_06035	DUF1322 domain-containing protein
ELJNOB_06040	group_344
ELJNOB_06045	group_3636
ELJNOB_06050	Phage tail sheath protein
ELJNOB_06055	group_3788
ELJNOB_06060	group_3095
ELJNOB_06070	group_506
ELJNOB_06075	group_2903
ELJNOB_06085	group_3869
ELJNOB_06090	group_3594
ELJNOB_06095	group_446
ELJNOB_06100	group_3370
ELJNOB_06105	group_3545
ELJNOB_06110	group_79
ELJNOB_06115	group_994
ELJNOB_06125	group_1129
ELJNOB_06130	group_617
ELJNOB_06155	group_2682
ELJNOB_06165	group_675
ELJNOB_06300	group_2106
ELJNOB_06305	group_2107
ELJNOB_06390	group_230
ELJNOB_06405	group_1302
ELJNOB_06500	group_2108
ELJNOB_06630	group_502
ELJNOB_06635	group_2616
ELJNOB_06645	group_911
ELJNOB_06795	group_3238
ELJNOB_06800	group_3049
ELJNOB_06805	group_578
ELJNOB_06810	group_572
ELJNOB_06815	group_2636
ELJNOB_06820	group_1058
ELJNOB_06825	group_468
ELJNOB_06830	group_3742
ELJNOB_06910	group_2
ELJNOB_06925	group_3432
ELJNOB_06930	Erp51 protein
ELJNOB_06935	group_1603
ELJNOB_06940	group_3270
ELJNOB_07055	group_1988
ELJNOB_07065	group_2770
ELJNOB_07090	group_2109
ELJNOB_07115	group_2110
ELJNOB_07120	group_102
ELJNOB_07125	group_722
PHNMIL_04830	group_514
PHNMIL_04835	group_2899
PHNMIL_05185	group_1524
PHNMIL_05190	group_1944
PHNMIL_05340	group_400
PHNMIL_05355	group_356
PHNMIL_05390	group_3663
PHNMIL_05400	group_585
PHNMIL_05505	group_115
PHNMIL_05510	group_3770
PHNMIL_05515	group_3608
PHNMIL_05555	group_3090
PHNMIL_05560	group_3150
PHNMIL_05565	group_515
PHNMIL_05575	group_886
PHNMIL_05580	group_2111
PHNMIL_05595	group_3361
PHNMIL_05605	group_80
PHNMIL_05665	group_672
PHNMIL_05670	mlpG
PHNMIL_05675	group_1619
PHNMIL_05680	group_554
PHNMIL_05685	group_1448
PHNMIL_05690	group_2997
PHNMIL_05700	group_1025
PHNMIL_05710	group_326
PHNMIL_05720	group_2113
PHNMIL_05730	group_91
PHNMIL_05735	group_3436
PHNMIL_05740	group_1339
PHNMIL_05785	group_622
PHNMIL_05790	group_673
PHNMIL_05805	group_540
PHNMIL_05815	group_561
PHNMIL_05820	group_2640
PHNMIL_05825	group_1034
PHNMIL_05830	group_2723
PHNMIL_05850	group_3688
PHNMIL_05860	group_143
PHNMIL_05880	group_317
PHNMIL_05935	group_386
PHNMIL_05970	group_455
PHNMIL_05990	group_185
PHNMIL_05995	group_2872
PHNMIL_06005	group_346
PHNMIL_06010	group_3640
PHNMIL_06020	group_420
PHNMIL_06025	Plasmid cp32-4, sequence at position 4-6kb
PHNMIL_06030	group_3157
PHNMIL_06035	group_512
PHNMIL_06040	group_491
PHNMIL_06045	group_484
PHNMIL_06050	group_2943
PHNMIL_06060	group_2977
PHNMIL_06065	group_437
PHNMIL_06170	group_365
PHNMIL_06185	group_127
PHNMIL_06235	group_2998
PHNMIL_06245	group_541
PHNMIL_06370	group_482
PHNMIL_06495	group_1330
PHNMIL_06505	group_2105
PHNMIL_06745	group_3058
PHNMIL_06750	group_3001
PHNMIL_06755	group_2656
PHNMIL_06770	group_2568
PHNMIL_06780	group_684
PHNMIL_06815	group_3798
PHNMIL_06820	group_3812
PHNMIL_06825	group_3091
PHNMIL_06830	group_3151
PHNMIL_06900	group_619
PHNMIL_06925	group_2889
PHNMIL_06945	group_3786
PHNMIL_06980	group_186
PHNMIL_06995	group_3662
PHNMIL_07000	group_2730
PHNMIL_07005	group_1023
PHNMIL_07015	group_562
PHNMIL_07020	group_1447
PHNMIL_07030	group_235
PHNMIL_07035	Mlp8
PHNMIL_07040	group_194
PHNMIL_07110	group_3197
PHNMIL_07120	group_3497
PHNMIL_07130	group_493
PHNMIL_07135	group_2699
PHNMIL_07140	group_3194
PHNMIL_07315	group_948
PHNMIL_07760	group_1349
PHIDNK_04265	group_1044
PHIDNK_04270	group_2103
PHIDNK_04275	group_1596
PHIDNK_04280	group_1328
PHIDNK_04285	group_1334
PHIDNK_04290	group_1157
PHIDNK_04790	group_792
PHIDNK_04825	group_1565
PHIDNK_04830	group_1569
PHIDNK_04835	group_1574
PHIDNK_04840	group_1310
PHIDNK_04845	group_2034
PHIDNK_04850	group_1582
PHIDNK_04965	group_3631
PHIDNK_04970	group_306
PHIDNK_04975	group_3779
PHIDNK_04980	group_3463
PHIDNK_05025	group_382
PHIDNK_05045	erpA
PHIDNK_05050	group_973
PHIDNK_05080	group_3859
PHIDNK_05085	group_267
PHIDNK_05095	mlpH
PHIDNK_05105	group_549
PHIDNK_05115	group_2765
PHIDNK_05120	group_2649
PHIDNK_05125	group_3373
PHIDNK_05130	group_472
PHIDNK_05135	group_2571
PHIDNK_05145	group_688
PHIDNK_05150	group_3203
PHIDNK_05155	group_3517
PHIDNK_05160	group_3875
PHIDNK_05165	group_3818
PHIDNK_05170	group_2610
PHIDNK_05175	group_2738
PHIDNK_05180	group_3185
PHIDNK_05190	group_3781
PHIDNK_05200	group_3632
PHIDNK_05230	group_680
PHIDNK_05240	group_2572
PHIDNK_05260	group_2766
PHIDNK_05265	group_3069
PHIDNK_05270	group_3230
PHIDNK_05295	group_2683
PHIDNK_05315	group_3310
PHIDNK_05330	group_1601
PHIDNK_05355	group_180
PHIDNK_05360	group_2875
PHIDNK_05375	group_3635
PHIDNK_05390	group_3465
PHIDNK_05400	group_505
PHIDNK_05420	group_2986
PHIDNK_05435	group_375
PHIDNK_05460	group_3275
PHIDNK_05500	group_191
PHIDNK_05520	group_3067
PHIDNK_05535	group_3375
PHIDNK_05545	group_2573
PHIDNK_05590	group_320
PHIDNK_05615	group_2614
PHIDNK_05625	group_905
PHIDNK_05635	group_3199
PHIDNK_05640	group_273
PHIDNK_05650	group_3550
PHIDNK_05655	group_106
PHIDNK_05735	group_3045
PHIDNK_05750	group_3381
PHIDNK_06140	group_244
PHIDNK_06145	group_3247
PHIDNK_06150	group_3061
PHIDNK_06155	group_2767
PHIDNK_06160	group_2647
PHIDNK_06165	group_3374
PHIDNK_06170	group_461
PHIDNK_06180	group_3143
PHIDNK_06185	group_689
PHIDNK_06195	group_3233
PHIDNK_06225	group_3745
PHIDNK_06235	group_1148
PHIDNK_06240	group_3693
PHIDNK_06250	group_2876
PHIDNK_06825	group_48
PHIDNK_06830	group_49
PHIDNK_06850	group_63
PHIDNK_06855	group_64
PHIDNK_06980	group_219
PHIDNK_07225	group_259
PHIDNK_07290	group_1085
PHIDNK_07425	group_2028
PHIDNK_07445	group_3040
PHIDNK_07450	group_2761
PHIDNK_07460	group_483
PHIDNK_07475	group_384
PHIDNK_07485	group_3164
PHIDNK_07495	group_120
CBONDI_02725	group_2118
CBONDI_04265	group_2119
CBONDI_04270	group_2120
CBONDI_04275	group_2084
CBONDI_04280	group_983
CBONDI_04285	group_2121
CBONDI_04290	group_1179
CBONDI_04300	group_2122
CBONDI_04365	group_1139
CBONDI_04380	group_968
CBONDI_04595	group_1316
CBONDI_04825	group_2123
CBONDI_04980	group_2124
CBONDI_04985	group_2125
CBONDI_04990	replicative DNA helicase
CBONDI_04995	group_2127
CBONDI_05015	group_946
CBONDI_05020	group_947
CBONDI_05025	group_2128
CBONDI_05075	group_2129
CBONDI_05085	group_1620
CBONDI_05130	group_819
CBONDI_05150	group_917
CBONDI_05155	group_626
CBONDI_05160	group_2888
CBONDI_05175	group_2130
CBONDI_05190	group_2718
CBONDI_05235	group_3865
CBONDI_05240	group_3819
CBONDI_05265	group_421
CBONDI_05275	group_3641
CBONDI_05300	group_3694
CBONDI_05325	group_1067
CBONDI_05330	group_2651
CBONDI_05355	group_2131
CBONDI_05360	group_197
CBONDI_05395	group_597
CBONDI_05400	Integrase
CBONDI_05425	group_3325
CBONDI_05440	group_2969
CBONDI_05450	group_372
CBONDI_05455	group_114
CBONDI_05465	group_2134
CBONDI_05470	group_1126
CBONDI_05475	group_3758
CBONDI_05480	group_3306
CBONDI_05485	Peptidoglycan hydrolase CwlO-like protein
CBONDI_05490	group_2136
CBONDI_05495	group_2137
CBONDI_05510	group_199
CBONDI_05515	group_1621
CBONDI_05520	group_1622
CBONDI_05530	group_3044
CBONDI_05545	group_1065
CBONDI_05610	group_3456
CBONDI_05650	group_2138
CBONDI_05655	group_354
CBONDI_05660	group_2139
CBONDI_05665	DUF787 domain-containing protein
CBONDI_05670	group_1623
CBONDI_05675	group_2140
CBONDI_05680	group_2141
CBONDI_05685	group_2142
CBONDI_05690	group_495
CBONDI_05695	group_2143
CBONDI_05700	group_1624
CBONDI_05705	group_2144
CBONDI_05710	group_2145
CBONDI_05715	group_283
CBONDI_05720	group_376
CBONDI_05725	group_1625
CBONDI_05730	Erp27 protein
CBONDI_05735	site-specific integrase
CBONDI_05740	group_2148
CBONDI_05745	group_37
CBONDI_05750	group_2149
CBONDI_05755	group_2150
CBONDI_05760	group_1626
CBONDI_05765	group_2676
CBONDI_05770	group_2151
CBONDI_05775	ERF family protein
CBONDI_05780	BBA14 family lipoprotein
CBONDI_05790	group_1628
CBONDI_05800	group_2152
CBONDI_05820	group_2153
CBONDI_05825	group_2154
CBONDI_05830	group_2155
CBONDI_05835	group_1182
CBONDI_05845	orfB
CBONDI_06040	Arthropod-specific outer surface protein C
CBONDI_06075	group_2158
CBONDI_06080	group_2159
CBONDI_06085	group_2160
CBONDI_06090	group_2161
CBONDI_06095	group_2162
CBONDI_06100	group_2163
CBONDI_06105	group_2164
CBONDI_06110	group_2165
CBONDI_06115	group_2166
CBONDI_06120	group_2167
CBONDI_06125	group_2168
CBONDI_06130	group_2169
CBONDI_06135	group_2170
CBONDI_06140	group_2171
CBONDI_06145	group_2172
CBONDI_06150	group_2173
CBONDI_06160	group_2174
CBONDI_06165	group_2175
CBONDI_06170	group_2176
CBONDI_06175	group_2177
CBONDI_06180	group_2178
CBONDI_06185	group_2179
CBONDI_06190	group_2180
CBONDI_06255	group_2181
CBONDI_06265	group_2182
CBONDI_06270	group_894
CBONDI_06285	group_1069
CBONDI_06295	group_332
CBONDI_06300	group_3139
CBONDI_06310	group_170
CBONDI_06315	group_169
CBONDI_06320	group_1332
CBONDI_06325	group_2183
CBONDI_06330	group_957
CBONDI_06340	group_3307
CBONDI_06375	group_2184
CBONDI_06380	group_249
CBONDI_06385	group_2582
CBONDI_06405	group_1629
CBONDI_06415	group_2185
CBONDI_06420	group_2186
CBONDI_06425	group_2027
CBONDI_06430	group_1630
CBONDI_06435	Borrelia ORF-A superfamily protein
CBONDI_06455	group_2187
CBONDI_06460	group_2188
CBONDI_06480	group_12
CBONDI_06485	group_2189
CBONDI_06490	group_1631
CBONDI_06500	group_2190
CBONDI_06510	group_2191
CBONDI_06515	ospE
CBONDI_06530	group_11
CBONDI_06535	group_2192
CBONDI_06565	group_2193
CBONDI_06570	group_1971
CBONDI_06575	group_2194
CBONDI_06580	group_2195
CBONDI_06585	group_155
CBONDI_06590	group_156
FOFEEG_00405	group_2196
FOFEEG_00705	yidD
FOFEEG_00970	group_2198
FOFEEG_01775	group_2199
FOFEEG_04320	group_430
FOFEEG_04410	group_2200
FOFEEG_04420	group_2201
