"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ESI26","UCT109","UCT110","UCT113","UCT29","UCT30","UCT31","UCT32","UCT35","UCT50","UCT92","UCT96","UNY149","UNY169","UNY172","UNY193","UNY203","UNY208","URI101","URI102","URI103","URI107","URI111","URI112","URI117","URI118","URI120","URI33","URI34","URI36","URI39","URI40","URI41","URI42","URI44","URI46","URI47","URI48","URI56","URI86","URI87","URI88","URI89","URI91","URI93","UWI247","UWI248","UWI263","UWI283"
"mlpC","","Lipoprotein MlpC","14","14","1","63","2782","1","163","","446","446","446","","AIHAAB_06325","","","DNBOAP_06400","","","","","","","","","","","","","","KLACFF_06465","BOHBDJ_06345","","BAPHAO_06335","EGFPMN_06445","","","","","","","","EPICMG_06465","BLADBF_06450","KKNGOI_05845","LIJDDG_06165","","","","","","","NCOCKI_06315","","CIPKDF_05955","DMHAMM_06370","AGFJGC_06555","","","",""
"group_2507","DUF643 domain-containing protein","DUF643 domain-containing protein","14","14","1","63","2836","1","1908","","218","218","218","","","APIDPD_05765","","","DLCMNL_05365","","AMNIDF_05790","","","KCCBHE_05705","","NAHIGD_05530","","","","","","","","BIKOAE_05585","","","JIDBHP_05570","NKPDPH_05885","PIKJEB_05740","","","","","","","","","HFKOMI_05510","CENHHB_05615","GDCPBO_05710","","","GEBMJB_05540","","","","","","","","EMEHFM_04810",""
"group_251","DUF1473 domain-containing protein","DUF1473 domain-containing protein","14","14","1","63","2630","1","2051","","104","455","280","CKDGNL_05070","","","","","","","","","","","AINDPC_06200","","","","KFEJKD_07175","","","KLACFF_06935","","BIKOAE_06390","","EGFPMN_06815","JIDBHP_06400","NKPDPH_06060","PIKJEB_05905","","JHFDLE_06495","","","EPICMG_06705","BLADBF_06795","","","","","","","","","","OHAJAL_06820","","","","","AEKFMC_06135","",""
"group_2539","Borrelia virulent strain associated lipoprotein","Borrelia virulent strain associated lipoprotein","14","14","1","63","1822","1","553","","728","731","728","","","APIDPD_05525","HCLMIK_04565","","DLCMNL_05060","","AMNIDF_05470","JODKDA_04605","","","","","","","","","","","","BIKOAE_05290","","","","","","","","","","","","","","HFKOMI_05410","CENHHB_05460","GDCPBO_05495","HEGNPG_05235","","GEBMJB_05440","","OHAJAL_04345","","","","GGIAGI_05360","","EMEHFM_05000",""
"group_2565","hypothetical protein","hypothetical protein","14","14","1","63","1107","1","1250","","212","212","212","","","","","DNBOAP_05535","","GCGJFL_05415","","","","","","","","","KFEJKD_04850","","","KLACFF_05690","","","BAPHAO_05610","EGFPMN_05965","","","","","","","","EPICMG_05945","BLADBF_05630","KKNGOI_05520","LIJDDG_05490","","","","","","","NCOCKI_05730","","CIPKDF_05655","DMHAMM_05975","AGFJGC_05640","","","",""
"Phage tail sheath protein","","Phage tail sheath protein","14","14","1","63","2404","1","1602","","488","1112","1067","","","APIDPD_06040","","DNBOAP_06290","DLCMNL_05800","","","","","","","NAHIGD_05745","","","KFEJKD_06790","","","","BOHBDJ_06370","","","","","","","","","","","","","","LIJDDG_06100","HFKOMI_05845","CENHHB_05985","GDCPBO_06035","","","GEBMJB_05775","","","","DMHAMM_06390","","","AEKFMC_05595","EMEHFM_05280",""
"group_635","variable large family protein","variable large family protein","14","14","1","63","2957","1","792","","209","1124","898","","","","HCLMIK_04835","","DLCMNL_06405","","","","","KCCBHE_05590","AINDPC_05915","","","","KFEJKD_04965","","CGENMI_04790","","","","","","","","","","","AFNEPP_07735","HCFOCN_05370","","","","LIJDDG_06545","","","","HEGNPG_06545","EFDIJO_05470","","","OHAJAL_06575","","","","","","EMEHFM_05520","LGKPKB_05265"
"group_881","DUF2634 domain-containing protein","DUF2634 domain-containing protein","14","14","1","63","2431","1","1826","","323","332","331","CKDGNL_05605","","APIDPD_05725","","","DLCMNL_05405","","","","","KCCBHE_05755","","","","EFMOJC_01810","","","","","","","","","","","","","","","","EPICMG_06480","","","LIJDDG_06175","HFKOMI_05550","CENHHB_05655","GDCPBO_05920","","EFDIJO_05630","","NCOCKI_05990","","","","AGFJGC_06175","","","EMEHFM_05595",""
"group_1000","Tyr recombinase domain-containing protein","Tyr recombinase domain-containing protein","13","20","1.54","63","2190","1","312","","221","776","429","CKDGNL_06065","AIHAAB_06080	AIHAAB_06035	AIHAAB_06040","","","DNBOAP_06245	DNBOAP_06240","","GCGJFL_05775","","","","","","","","","","","","KLACFF_06225	KLACFF_06220","","","","EGFPMN_06085","","","","","","","","EPICMG_05935","BLADBF_06035","KKNGOI_06035","LIJDDG_05855","","","","","","","NCOCKI_06070	NCOCKI_06065","","CIPKDF_06220	CIPKDF_06225","","AGFJGC_06335	AGFJGC_06340","","","",""
"group_1017","DUF643 domain-containing protein","DUF643 domain-containing protein","13","13","1","63","2852","1","1968","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","395","572","508","","","","","DNBOAP_05985","DLCMNL_05770","","","","","KCCBHE_06265","","NAHIGD_05875","","EFMOJC_01870","","","","","","","","","JIDBHP_05750","","","","","","","","","","","HFKOMI_05755","","","HEGNPG_06165","","GEBMJB_05860","","OHAJAL_06360","","","AGFJGC_06605","","","EMEHFM_04890","LGKPKB_06230"
"Type I restriction enzyme R protein (HSDR_N)","","Type I restriction enzyme R protein (HSDR_N)","13","23","1.77","63","1891","1","467","","2129","3833","3684","","AIHAAB_04665	AIHAAB_04670","","","DNBOAP_04670	DNBOAP_04675","","GCGJFL_04665","","","","","","","","","","","","KLACFF_04665","BOHBDJ_04665	BOHBDJ_04670","","","EGFPMN_04670	EGFPMN_04675","","","","","","","","","BLADBF_04670	BLADBF_04675","KKNGOI_04675	KKNGOI_04680","LIJDDG_04670	LIJDDG_04675","","","","","","","NCOCKI_04665	NCOCKI_04670","","CIPKDF_04665	CIPKDF_04670","DMHAMM_04665","AGFJGC_04665	AGFJGC_04670","","","",""
"group_1075","DUF777 domain-containing protein","DUF777 domain-containing protein","13","13","1","63","2415","1","1888","","500","554","535","","","APIDPD_05730","","","DLCMNL_05400","","AMNIDF_05935","","","KCCBHE_05760","","","","","","","","","BOHBDJ_06430","","","EGFPMN_06470","","","","","","","","","BLADBF_06545","","","HFKOMI_05545","CENHHB_05650","","","","","","","CIPKDF_06605","","AGFJGC_06580","GGIAGI_05275","","","LGKPKB_05445"
"group_1203","hypothetical protein","hypothetical protein","13","13","1","63","1312","1","1329","","185","185","185","","AIHAAB_05655","","","DNBOAP_05590","","GCGJFL_05470","","","","","","","","","","","","KLACFF_05745","BOHBDJ_05870","","BAPHAO_05665","EGFPMN_05890","","","","","","","","","BLADBF_05685","KKNGOI_05465","LIJDDG_05545","","","","","","","NCOCKI_05675","","CIPKDF_05710","","AGFJGC_05695","","","",""
"Immunogenic protein P37","","Immunogenic protein P37","13","21","1.62","63","3087","1","1162","","104","626","302","CKDGNL_04720","","","","","","GCGJFL_06130","","","","","AINDPC_05355	AINDPC_05360","","","","KFEJKD_01940","","","KLACFF_06405	KLACFF_06410","","","BAPHAO_06205	BAPHAO_06210","EGFPMN_06260	EGFPMN_06265","","","","OFFMIL_05600	OFFMIL_05605","","","","","BLADBF_06250","KKNGOI_06110	KKNGOI_06115","LIJDDG_05960	LIJDDG_05955","","","","","","","NCOCKI_06270","","","","AGFJGC_06435	AGFJGC_06440","","","",""
"group_1251","chromosome replication/partitioning protein","chromosome replication/partitioning protein","13","13","1","63","630","34","3","","548","548","548","","AIHAAB_05105","","","DNBOAP_05225","","GCGJFL_05025","","","","","","","","","","","","KLACFF_05080","BOHBDJ_05180","","BAPHAO_05160","","","","","OFFMIL_04665","","","","EPICMG_04990","","KKNGOI_05170","LIJDDG_05100","","","","","","","NCOCKI_05150","","CIPKDF_05170","DMHAMM_05105","","","","",""
"group_1329","Putative lipoprotein","Putative lipoprotein","13","13","1","63","1170","1","774","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","269","1055","819","","","","HCLMIK_06465","","DLCMNL_06150","","","JODKDA_05665","","KCCBHE_06200","AINDPC_05570","","","","","GDPOAI_05885","CGENMI_06135","KLACFF_05515","","","","","JIDBHP_05215","","","","","AFNEPP_04225","","","","","","","","","","EFDIJO_05455","","","OHAJAL_06720","","","","GGIAGI_05740","","",""
"group_1448","chromosome replication/partitioning protein","chromosome replication/partitioning protein","13","13","1","277","1","412","1","Investigate","281","281","281","","AIHAAB_06485","","","DNBOAP_06645","","","","","","","","","","","KFEJKD_06755","","","KLACFF_06675","BOHBDJ_06455","","BAPHAO_06455","EGFPMN_06605","","","","OFFMIL_06000","","","","EPICMG_06505","","","","","","","","","","NCOCKI_06530","","CIPKDF_06685","DMHAMM_06575","AGFJGC_06625","","","",""
"group_1459","Hemolysin accessory protein","Hemolysin accessory protein","13","13","1","63","2790","1","199","","194","356","255","CKDGNL_05580","","","","","","GCGJFL_06555","","","","","","","","","","","","KLACFF_06420","","","BAPHAO_06635","EGFPMN_06335","","","","OFFMIL_06200","JHFDLE_06505","","","EPICMG_06230","BLADBF_06310","KKNGOI_06270","LIJDDG_06505","","","","HEGNPG_06345","","","","","CIPKDF_06840","","","","","",""
"group_1469","hypothetical protein","hypothetical protein","13","13","1","63","2115","1","327","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","230","527","412","CKDGNL_06210","","","","","","","","JODKDA_06365","","","","","","","","GDPOAI_05385","","KLACFF_06625","","","","EGFPMN_06045","JIDBHP_06050","NKPDPH_05860","PIKJEB_05720","","","","HCFOCN_06265","EPICMG_06585","","","LIJDDG_05935","","","","","EFDIJO_06095","","","OHAJAL_06790","","","","","","",""
"group_1517","plasmid maintenance protein","plasmid maintenance protein","13","13","1","63","1293","1","1302","","299","299","299","","AIHAAB_05595","","","DNBOAP_05865","","GCGJFL_05505","","","","","","","","","","","","KLACFF_05780","BOHBDJ_05690","","BAPHAO_05700","EGFPMN_05810","","","","","","","","EPICMG_05715","BLADBF_05720","","LIJDDG_05580","","","","","","","NCOCKI_05740","","CIPKDF_05830","","AGFJGC_05725","","","",""
"group_1585","Mlp lipoprotein family protein","Mlp lipoprotein family protein","13","13","1","63","2673","1","126","","581","623","617","","","APIDPD_06530","","","DLCMNL_06360","","AMNIDF_06440","","","","","NAHIGD_06290","","","","","","","","","","","JIDBHP_05730","","","","","","","","","","","HFKOMI_06360","CENHHB_06490","GDCPBO_06530","","","GEBMJB_06245","","OHAJAL_06585","","","","GGIAGI_05815","AEKFMC_05815","EMEHFM_05500",""
"group_1595","hypothetical protein","hypothetical protein","13","13","1","63","601","5","7","","263","497","361","","","","HCLMIK_05100","","","GCGJFL_04930","","","ANPAAP_05550","","AINDPC_04675","","","","","GDPOAI_05320","","","","","","","","","","OFFMIL_04570","","AFNEPP_04915","HCFOCN_04995","","","","LIJDDG_05195","","CENHHB_05045","","","EFDIJO_04690","","","","","DMHAMM_05200","","","","EMEHFM_05535",""
"group_1849","hypothetical protein","hypothetical protein","13","13","1","63","1932","1","499","","215","215","215","","AIHAAB_04755","","","","","","","","","","","","","","","","","KLACFF_04755","BOHBDJ_04755","","BAPHAO_04745","EGFPMN_04760","","","","OFFMIL_05070","","","","","BLADBF_04760","KKNGOI_04765","LIJDDG_04760","","","","","","","NCOCKI_04755","","CIPKDF_04755","DMHAMM_04755","AGFJGC_04755","","","",""
"group_1855","Blasticidin-S acetyltransferase","Blasticidin-S acetyltransferase","13","13","1","63","1933","1","500","","731","731","731","","AIHAAB_04750","","","","","","","","","","","","","","","","","KLACFF_04750","BOHBDJ_04750","","BAPHAO_04740","EGFPMN_04755","","","","OFFMIL_05075","","","","","BLADBF_04755","KKNGOI_04760","LIJDDG_04755","","","","","","","NCOCKI_04750","","CIPKDF_04750","DMHAMM_04750","AGFJGC_04750","","","",""
"group_1912","Uncharacterized lipoprotein BBF20","Uncharacterized lipoprotein BBF20","13","13","1","63","3128","1","1260","","224","293","277","","AIHAAB_05670","","","DNBOAP_05575","","GCGJFL_05455","","","","","","","","","","","","KLACFF_05730","BOHBDJ_05885","","BAPHAO_05650","EGFPMN_05875","","","","","","","","","BLADBF_05670","KKNGOI_05480","LIJDDG_05530","","","","","","","NCOCKI_05690","","CIPKDF_05695","","AGFJGC_05680","","","",""
"group_1960","ospC","OspC","13","13","1","63","605","5","10","","347","635","612","","","APIDPD_04985","","","DLCMNL_04690","","AMNIDF_04970","","","KCCBHE_04730","","NAHIGD_05040","","","","","","","","BIKOAE_04890","","","JIDBHP_04835","NKPDPH_04645","PIKJEB_04640","","","","","","","","","HFKOMI_04990","CENHHB_04925","GDCPBO_04935","","","GEBMJB_04900","","","","","","","","",""
"elpB2","","ElpB2","13","13","1","63","2839","1","1912","","1190","1220","1210","","","APIDPD_05775","","","DLCMNL_05355","","AMNIDF_05780","","","KCCBHE_05695","","NAHIGD_05540","","","","","","","","BIKOAE_05595","","","JIDBHP_05580","NKPDPH_05355","PIKJEB_05240","","","","","","","","","HFKOMI_05500","CENHHB_05605","GDCPBO_05700","","","GEBMJB_05550","","","","","","","","",""
"group_2000","Lipoprotein","Lipoprotein","13","13","1","63","2521","1","165","","431","611","583","","","APIDPD_06055","","","DLCMNL_05865","","AMNIDF_05985","","","KCCBHE_06025","","NAHIGD_06215","","","","","","","","BIKOAE_06025","","","JIDBHP_06005","NKPDPH_06020","PIKJEB_05865","","","","","","","","","HFKOMI_05995","CENHHB_06015","GDCPBO_06205","","","GEBMJB_05965","","","","","","","","",""
"Erp44 protein","","Erp44 protein","13","13","1","63","2123","1","1565","","494","689","674","","","APIDPD_06135","","","DLCMNL_05925","","AMNIDF_06005","","","KCCBHE_05930","AINDPC_05845","NAHIGD_05945","","","","","","","","BIKOAE_05770","","","JIDBHP_06045","NKPDPH_05850","PIKJEB_05710","","","","","","","","","HFKOMI_05980","CENHHB_06060","GDCPBO_06110","","","","","","","","","","","",""
"group_2163","hypothetical protein","hypothetical protein","13","13","1","63","1638","1","1360","","164","164","164","CKDGNL_04595","AIHAAB_05230","APIDPD_04680","","DNBOAP_05285","","","","","","","","","","","","","","KLACFF_05230","BOHBDJ_05265","","BAPHAO_05220","EGFPMN_05235","","","","","","","","","BLADBF_05295","","","","","GDCPBO_04650","","","GEBMJB_04640","NCOCKI_05285","","","","AGFJGC_05290","","","",""
"mlpJ","","MlpJ","13","13","1","63","2780","1","160","","620","620","620","CKDGNL_05555","AIHAAB_06375","","","DNBOAP_06470","","GCGJFL_06165","","","","","","","","","KFEJKD_06295","","","","","","BAPHAO_06240","EGFPMN_06360","","","","","","","","EPICMG_06360","BLADBF_06355","KKNGOI_06275","LIJDDG_06035","","","","","","","","","CIPKDF_06545","","AGFJGC_06390","","","",""
"group_2318","plasmid maintenance protein","plasmid maintenance protein","13","13","1","63","1931","1","498","","341","341","341","","AIHAAB_04760","","","","","","","","","","","","","","","","","KLACFF_04760","BOHBDJ_04760","","BAPHAO_04750","EGFPMN_04765","","","","OFFMIL_05065","","","","","BLADBF_04765","KKNGOI_04770","LIJDDG_04765","","","","","","","NCOCKI_04760","","CIPKDF_04760","DMHAMM_04760","AGFJGC_04760","","","",""
"group_2321","hypothetical protein","hypothetical protein","13","13","1","63","1934","1","502","","248","248","248","","AIHAAB_04745","","","","","","","","","","","","","","","","","KLACFF_04745","BOHBDJ_04745","","BAPHAO_04735","EGFPMN_04750","","","","OFFMIL_05080","","","","","BLADBF_04750","KKNGOI_04755","LIJDDG_04750","","","","","","","NCOCKI_04745","","CIPKDF_04745","DMHAMM_04745","AGFJGC_04745","","","",""
"group_2535","SPOR domain-containing protein","SPOR domain-containing protein","13","13","1","63","551","3","4","","794","800","797","","","APIDPD_00635","HCLMIK_01540","","DLCMNL_01540","","AMNIDF_00635","","","KCCBHE_01540","","","","","","","","","","BIKOAE_00635","","","JIDBHP_00635","NKPDPH_00630","","","","","","","","","","HFKOMI_01535","CENHHB_01540","GDCPBO_01540","","","GEBMJB_01540","","","","","","GGIAGI_01845","","",""
"group_258","BBC01","BBC01","13","13","1","63","1448","1","1455","","1046","1109","1103","","","","HCLMIK_05975","DNBOAP_06370","","GCGJFL_06155","","","","","","","","","KFEJKD_05155","","","KLACFF_06515","","","","","","","","","JHFDLE_06165","","HCFOCN_06165","EPICMG_06165","BLADBF_06270","KKNGOI_06130","","","","","","EFDIJO_05980","","","OHAJAL_06220","","","AGFJGC_06425","","","",""
"erpK","","ErpK protein","13","13","1","63","2091","1","1548","","758","764","758","CKDGNL_06165","AIHAAB_06225","","","","","GCGJFL_06050","","","","","AINDPC_05725","","","","KFEJKD_06250","","","","","","BAPHAO_06285","","","","","OFFMIL_05815","","AFNEPP_07640","","EPICMG_06055","","KKNGOI_06245","","","","","","","","NCOCKI_06175","","CIPKDF_06430","DMHAMM_06245","","","","",""
"group_354","P52 family lipoprotein","P52 family lipoprotein","13","13","1","63","3078","1","598","","182","554","407","","","APIDPD_06600","","","DLCMNL_05180","","AMNIDF_06500","","","KCCBHE_06630","","NAHIGD_05145","","","","","CGENMI_05135","","","","","EGFPMN_06750","","NKPDPH_06025","","","","","","","","KKNGOI_06625","","HFKOMI_06430","","GDCPBO_06600","","EFDIJO_05125","GEBMJB_06355","","","","","","","","",""
"group_378","hypothetical protein","hypothetical protein","13","13","1","63","2816","1","1637","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","101","950","623","CKDGNL_06450","AIHAAB_06545","","","","DLCMNL_06220","","AMNIDF_05930","","ANPAAP_06030","","","NAHIGD_06355","","","","GDPOAI_06225","","","BOHBDJ_06540","","BAPHAO_06515","","","","","","","","","","","","","HFKOMI_06250","CENHHB_06395","","","","","NCOCKI_06540","","","","","","","","LGKPKB_06240"
"group_396","Phage tail sheath protein","Phage tail sheath protein","13","13","1","63","2312","1","1664","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","173","488","463","","","","HCLMIK_06060","DNBOAP_06140","","","","","","","","NAHIGD_05890","","","","","","","","","","","JIDBHP_05860","","","","","","HCFOCN_05845","EPICMG_06525","BLADBF_06610","","","","CENHHB_06030","GDCPBO_06080","","EFDIJO_05670","GEBMJB_05890","","OHAJAL_06100","","","","GGIAGI_04960","","",""
"group_564","bppB","BppB","13","13","1","63","2142","1","1543","","224","425","373","","AIHAAB_06215","","","","","GCGJFL_05935","","","ANPAAP_05940","","","","","EFMOJC_01575","","","","KLACFF_06895","BOHBDJ_06030","","","EGFPMN_06155","","","","","","","","","BLADBF_06185","KKNGOI_06060","LIJDDG_05850","","","","","","","NCOCKI_06120","","","DMHAMM_06110","","","","","LGKPKB_05735"
"group_973","Plasmid partitioning associated protein-1","Plasmid partitioning associated protein-1","13","13","1","63","2182","1","297","","89","557","428","","","","","","DLCMNL_05675","","","","","KCCBHE_05635","","","","","","","","KLACFF_05900","","","","EGFPMN_05665","JIDBHP_05450","","","","JHFDLE_05695","","","EPICMG_05570","","KKNGOI_05595","","","CENHHB_05695","","","EFDIJO_05280","","","OHAJAL_05610","CIPKDF_05625","","AGFJGC_05830","","","",""
"group_1078","BBD14-like protein","BBD14-like protein","12","12","1","63","1309","1","1270","","299","1874","1484","","","","HCLMIK_05965","","DLCMNL_05980","","AMNIDF_06510","JODKDA_05820","","KCCBHE_05400","AINDPC_05645","","","","","GDPOAI_03795","CGENMI_04620","","","","","","JIDBHP_05770","","","","JHFDLE_05960","","HCFOCN_05920","","","","","","","","HEGNPG_06190","","","","","","","","","","",""
"group_1096","DUF777 domain-containing protein","DUF777 domain-containing protein","12","12","1","63","2821","1","1882","","305","569","509","CKDGNL_05610","","APIDPD_06245","","","","","","","","","","","","","","","CGENMI_05540","","","BIKOAE_06040","","","","","","","JHFDLE_06430","AFNEPP_00540","HCFOCN_05880","EPICMG_06490","","","","","","GDCPBO_06260","","EFDIJO_05635","","","OHAJAL_06445","","","","","","EMEHFM_04710",""
"Single-stranded DNA-binding protein","","Single-stranded DNA-binding protein","12","12","1","63","2485","1","186","","347","1016","542","","","APIDPD_06305","","","","GCGJFL_06395","AMNIDF_06140","","","","","","","EFMOJC_01750","KFEJKD_07290","","","","","","","","JIDBHP_06315","","","","","AFNEPP_07725","HCFOCN_06290","","","","","","CENHHB_06195","","","EFDIJO_05915","","NCOCKI_06510","","CIPKDF_06750","","","","","",""
"group_1107","Partition protein","Partition protein","12","12","1","63","1943","1","510","","563","563","563","","AIHAAB_04720","","","","","","","","","","","","","","","","","KLACFF_04720","BOHBDJ_04720","","BAPHAO_04710","EGFPMN_04725","","","","","","","","","BLADBF_04725","KKNGOI_04730","LIJDDG_04725","","","","","","","NCOCKI_04720","","CIPKDF_04720","DMHAMM_04720","AGFJGC_04720","","","",""
"group_1259","bdrR","KID repeat family protein","12","12","1","63","2502","1","129","","266","620","516","CKDGNL_05890","","","HCLMIK_06275","DNBOAP_06440","","","","","","","","","","","","","CGENMI_05845","","BOHBDJ_06215","","","","","","","","","","HCFOCN_06550","","","","","","","","","EFDIJO_06435","","NCOCKI_06150","","","DMHAMM_06165","AGFJGC_06135","GGIAGI_05510","AEKFMC_05765","",""
"group_1308","TM2 domain protein","TM2 domain protein","12","12","1","63","1662","1","583","","245","245","245","","","APIDPD_04570","","","","","","JODKDA_05355","","","","","","","","","","","","BIKOAE_05940","","","JIDBHP_06040","","","","JHFDLE_04995","","HCFOCN_06170","","","","","HFKOMI_06080","","GDCPBO_06245","HEGNPG_05770","","","","OHAJAL_04585","","","","GGIAGI_05630","","EMEHFM_04915",""
"dedD","","Cell division protein DedD (periplasmic protein involved in septation)","12","12","1","63","553","3","2","","734","740","738","CKDGNL_01550","","","","","","","","JODKDA_00630","ANPAAP_00630","","AINDPC_00630","","GMPCOK_01535","EFMOJC_02460","","GDPOAI_00350","","","","","","","","","","","JHFDLE_00630","","HCFOCN_00630","","","","","","","","HEGNPG_00630","EFDIJO_01325","","","","","","","","","","LGKPKB_00545"
"group_1477","hypothetical protein","hypothetical protein","12","12","1","63","1936","1","504","","215","215","215","","AIHAAB_04740","","","","","","","","","","","","","","","","","KLACFF_04740","BOHBDJ_04740","","BAPHAO_04730","EGFPMN_04745","","","","OFFMIL_05085","","","","","BLADBF_04745","KKNGOI_04750","LIJDDG_04745","","","","","","","NCOCKI_04740","","CIPKDF_04740","DMHAMM_04740","","","","",""
"erpH","","ErpH","12","12","1","63","2073","1","1956","","104","104","104","","AIHAAB_05885","","","DNBOAP_06085","","","","","","","","","","","KFEJKD_05660","","","KLACFF_06150","BOHBDJ_05820","","BAPHAO_05890","","","","","","","","","EPICMG_05840","BLADBF_06715","","","","","","","","","NCOCKI_05880","","CIPKDF_06005","DMHAMM_05940","AGFJGC_06075","","","",""
"PilZN3 domain-containing protein","","PilZN3 domain-containing protein","12","12","1","63","1176","1","784","","158","800","713","","AIHAAB_06590","","HCLMIK_05490","","DLCMNL_05410","","","JODKDA_05640","","KCCBHE_05605","AINDPC_04850","","","","","GDPOAI_03955","CGENMI_04595","","BOHBDJ_06575","","","","JIDBHP_05240","","","","","","HCFOCN_05280","","","","","","","","","","","","OHAJAL_06010","","","","","","",""
"group_162","hypothetical protein","hypothetical protein","12","12","1","63","2403","1","1601","","263","569","383","","","APIDPD_06045","","DNBOAP_06285","DLCMNL_05795","","","","","","","NAHIGD_05740","","","KFEJKD_06780","","","","","","","","","","","","","","","","","","LIJDDG_06105","HFKOMI_05840","CENHHB_05980","GDCPBO_06030","","","GEBMJB_05780","","","","","","","AEKFMC_05600","EMEHFM_05275",""
"group_163","DUF764 domain-containing protein","DUF764 domain-containing protein","12","12","1","63","2287","1","1661","","338","569","441","","","APIDPD_05925","","","DLCMNL_05750","","AMNIDF_05805","","","","","","","","KFEJKD_06690","","","","","BIKOAE_05760","","","JIDBHP_05910","","","","","AFNEPP_04950","","","","","","HFKOMI_05705","CENHHB_05900","GDCPBO_05875","","","GEBMJB_05740","","","","","","","","","LGKPKB_05485"
"group_1903","hypothetical protein","hypothetical protein","12","14","1.17","63","1282","1","1312","","707","707","707","","AIHAAB_05610","","","DNBOAP_05850","","GCGJFL_05520","","","","","","","","","","","","KLACFF_05795","","","BAPHAO_05715","EGFPMN_05795","","","","","","","","","BLADBF_05735","KKNGOI_05735","LIJDDG_05595	LIJDDG_05600","","","","","","","NCOCKI_05755","","","DMHAMM_05825","AGFJGC_05740	AGFJGC_05745","","","",""
"mlpH","","Lipoprotein MlpH","12","12","1","63","2504","1","203","","407","446","420","","","APIDPD_06595","HCLMIK_06315","","","","AMNIDF_06485","","","KCCBHE_06315","AINDPC_06090","NAHIGD_06380","","","","","CGENMI_06115","","","","","","","","","OFFMIL_06115","","","","EPICMG_06565","","","","","","GDCPBO_06590","","","","","OHAJAL_06750","","DMHAMM_06615","","","","",""
"bdrA","","BdrA protein","12","12","1","63","2553","1","88","","632","632","632","","","","HCLMIK_05865","DNBOAP_06220","","GCGJFL_05790","","","","KCCBHE_06105","AINDPC_05620","","","","","","CGENMI_05705","","","","","","","","","OFFMIL_05680","","","","","","","","","","","","","","","OHAJAL_06525","CIPKDF_06150","DMHAMM_06060","","GGIAGI_05610","AEKFMC_05470","",""
"DNA helicase","","DNA helicase","12","12","1","63","1306","1","1267","","182","1367","1262","","","","HCLMIK_05960","","DLCMNL_05975","","AMNIDF_06425","JODKDA_05815","","KCCBHE_05405","AINDPC_05640","","","","","GDPOAI_03800","CGENMI_04625","","","","","","JIDBHP_05775","","","","JHFDLE_05955","","HCFOCN_05915","","","","","","","","HEGNPG_06185","","","","","","","","","","",""
"group_216","Cytosolic protein","Cytosolic protein","12","12","1","63","2637","1","2058","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","260","959","709","CKDGNL_05035","","","HCLMIK_06500","DNBOAP_06675","","","","","ANPAAP_05340","KCCBHE_06515","","","GMPCOK_05015","","","","","","","","","","","","PIKJEB_05915","","","AFNEPP_00580","","","","","LIJDDG_06445","HFKOMI_06365","","","","","","","","","","","","AEKFMC_05975","","LGKPKB_04745"
"group_231","DUF1473 domain-containing protein","DUF1473 domain-containing protein","12","12","1","63","2834","1","1906","","257","290","262","","","APIDPD_05755","","","DLCMNL_05375","","AMNIDF_05800","","","KCCBHE_05785","","NAHIGD_05520","","","","","","","","BIKOAE_05575","","","JIDBHP_05560","","PIKJEB_05825","","","","","","","","","HFKOMI_05520","CENHHB_05625","GDCPBO_05720","","","GEBMJB_05530","","","","","","","","",""
"repU","","RepU","12","16","1.34","63","1292","1","1308","","515","515","515","","AIHAAB_05625","","","DNBOAP_05860","","GCGJFL_05510","","","","","","","","","","","","KLACFF_05785","","","BAPHAO_05705	BAPHAO_05730","EGFPMN_05805","","","","","","","","","BLADBF_05725","KKNGOI_05745","LIJDDG_05585	LIJDDG_05610","","","","","","","NCOCKI_05745	NCOCKI_05770","","","DMHAMM_05815","AGFJGC_05730	AGFJGC_05755","","","",""
"group_2413","erpD","ErpD protein","12","12","1","63","1304","1","1266","","998","998","998","","","","HCLMIK_06300","","DLCMNL_06205","","","JODKDA_06020","","KCCBHE_05410","AINDPC_05400","","","","KFEJKD_06075","GDPOAI_05185","CGENMI_04630","","","","","","JIDBHP_06200","","","OFFMIL_05765","","","HCFOCN_06205","","","","","","","","","","","","OHAJAL_06615","","","","","","",""
