CFHKPG_00001	Uncharacterized protein BB_0001
OHDNIM_00969	type I site-specific deoxyribonuclease
OHDNIM_00973	group_2154
OHDNIM_00978	group_2590
OHDNIM_00983	group_1818
OHDNIM_00986	group_1648
OHDNIM_00987	group_1645
OHDNIM_00988	group_1643
OHDNIM_00990	group_1225
OHDNIM_00992	group_215
OHDNIM_00993	group_490
OHDNIM_00994	group_663
OHDNIM_00997	group_3626
OHDNIM_00998	group_735
OHDNIM_00999	group_1101
OHDNIM_01004	group_627
OHDNIM_01010	group_3477
OHDNIM_01012	group_761
OHDNIM_01016	group_3854
OHDNIM_01028	group_1104
OHDNIM_01029	group_1111
OHDNIM_01032	group_997
OHDNIM_01034	group_4405
OHDNIM_01035	group_220
OHDNIM_01036	group_3489
OHDNIM_01037	group_320
OHDNIM_01038	group_3588
OHDNIM_01039	group_558
OHDNIM_01040	group_1173
OHDNIM_01042	group_3855
OHDNIM_01049	group_1028
OHDNIM_01052	bdrQ
OHDNIM_01061	group_4413
OHDNIM_01068	group_402
OHDNIM_01075	group_630
OHDNIM_01076	group_629
OHDNIM_01083	group_2574
OHDNIM_01086	group_3849
OHDNIM_01087	group_843
OHDNIM_01091	group_335
OHDNIM_01097	group_3696
OHDNIM_01099	group_4122
OHDNIM_01100	group_283
OHDNIM_01107	group_3892
OHDNIM_01111	group_455
OHDNIM_01113	group_125
OHDNIM_01114	group_2296
OHDNIM_01115	group_2024
OHDNIM_01116	bppC1
OHDNIM_01119	group_2563
OHDNIM_01120	group_2592
OHDNIM_01122	group_1019
OHDNIM_01124	group_593
OHDNIM_01127	group_639
OHDNIM_01129	group_34
OHDNIM_01131	group_774
OHDNIM_01132	group_972
OHDNIM_01134	group_3132
OHDNIM_01137	group_3754
OHDNIM_01139	group_3845
OHDNIM_01140	group_3563
OHDNIM_01144	group_343
OHDNIM_01145	group_4494
OHDNIM_01149	group_4046
OHDNIM_01150	group_808
OHDNIM_01153	group_1850
OHDNIM_01154	TM2 domain-containing protein
OHDNIM_01156	group_460
OHDNIM_01157	group_3498
OHDNIM_01158	group_3276
OHDNIM_01159	group_3192
OHDNIM_01160	group_1163
OHDNIM_01161	group_3446
OHDNIM_01163	group_3396
OHDNIM_01165	group_950
OHDNIM_01166	group_982
OHDNIM_01167	group_142
OHDNIM_01168	group_456
OHDNIM_01169	group_3494
OHDNIM_01171	group_3203
OHDNIM_01172	group_3893
OHDNIM_01174	group_3629
OHDNIM_01175	group_733
OHDNIM_01176	group_1102
OHDNIM_01179	group_281
OHDNIM_01181	group_628
OHDNIM_01189	group_3739
OHDNIM_01191	group_3779
OHDNIM_01192	group_846
OHDNIM_01193	group_2148
OHDNIM_01195	group_1452
OHDNIM_01198	group_1181
OHDNIM_01199	group_1129
OHDNIM_01200	group_3726
OHDNIM_01201	group_2143
OHDNIM_01202	group_2471
OHDNIM_01203	group_1545
OHDNIM_01204	group_98
OHDNIM_01205	group_3805
OHDNIM_01206	group_1114
OHDNIM_01207	Erp44 protein
OHDNIM_01242	group_1393
OHDNIM_01256	group_2598
OHDNIM_01268	group_1136
OHDNIM_01272	group_1306
OHDNIM_01282	group_2599
OHDNIM_01286	group_2121
OHDNIM_01289	group_1625
OHDNIM_01290	group_2443
OHDNIM_01291	group_1822
OHDNIM_01292	group_1386
OHDNIM_01304	group_2164
OHDNIM_01305	group_2579
OHDNIM_01309	group_2603
OHDNIM_01314	group_974
OHDNIM_01318	group_1532
OHDNIM_01319	group_1175
OHDNIM_01321	group_3872
OHDNIM_01323	group_710
OHDNIM_01324	group_2583
OHDNIM_01331	group_4054
OHDNIM_01332	group_814
OHDNIM_01333	group_1108
OHDNIM_01334	group_1031
OHDNIM_01335	erpM
OHDNIM_01336	group_985
OHDNIM_01338	group_4028
OHDNIM_01339	group_217
OHDNIM_01348	group_1750
OHDNIM_01349	group_2041
OHDNIM_01350	group_1757
OHDNIM_01351	Putative restriction/modification enzyme
OHDNIM_01352	group_1074
OHDNIM_01353	group_1073
OHDNIM_01354	group_1075
OHDNIM_01355	PilZN3 domain-containing protein
OHDNIM_01356	group_2607
OHDNIM_01357	group_2608
OHDNIM_01358	group_2609
OHDNIM_01359	group_2610
OHDNIM_01360	group_2611
OHDNIM_01361	group_2612
OHDNIM_01362	group_2613
OHDNIM_01363	group_2614
OHDNIM_01364	group_2615
OHDNIM_01365	group_2616
OHDNIM_01369	group_2617
OHDNIM_01370	group_691
OHDNIM_01371	group_2619
OHDNIM_01372	group_3454
OHDNIM_01373	group_3906
OHDNIM_01374	group_3201
OHDNIM_01375	group_1097
OHDNIM_01376	group_937
APMGPK_00044	group_1673
APMGPK_00210	tetratricopeptide repeat protein
APMGPK_00212	group_1622
APMGPK_00372	group_1700
APMGPK_00871	group_1416
APMGPK_00923	group_2122
APMGPK_00928	group_233
APMGPK_00973	group_3269
APMGPK_00974	group_3193
APMGPK_00975	group_3894
APMGPK_00977	group_3625
APMGPK_00978	group_731
APMGPK_00979	group_7
APMGPK_00990	group_4305
APMGPK_01001	group_820
APMGPK_01006	group_158
APMGPK_01007	group_4035
APMGPK_01008	group_274
APMGPK_01010	group_673
APMGPK_01014	group_12
APMGPK_01015	group_22
APMGPK_01016	group_394
APMGPK_01017	group_4159
APMGPK_01018	group_962
APMGPK_01019	group_3485
APMGPK_01023	group_3764
APMGPK_01024	group_3236
APMGPK_01025	group_2147
APMGPK_01026	group_901
APMGPK_01027	group_2291
APMGPK_01028	group_2659
APMGPK_01030	group_341
APMGPK_01031	group_4491
APMGPK_01035	group_61
APMGPK_01036	group_3807
APMGPK_01038	group_2649
APMGPK_01041	group_144
APMGPK_01053	group_4350
APMGPK_01055	group_4433
APMGPK_01064	group_563
APMGPK_01066	group_3239
APMGPK_01068	group_898
APMGPK_01069	group_698
APMGPK_01071	group_252
APMGPK_01072	group_832
APMGPK_01077	group_75
APMGPK_01078	group_807
APMGPK_01084	group_110
APMGPK_01090	group_515
APMGPK_01093	group_523
APMGPK_01098	group_3328
APMGPK_01135	group_439
APMGPK_01136	group_222
APMGPK_01138	group_4467
APMGPK_01139	group_653
APMGPK_01140	group_521
APMGPK_01141	group_408
APMGPK_01144	group_3961
APMGPK_01179	group_442
APMGPK_01180	group_209
APMGPK_01186	group_1132
APMGPK_01217	group_859
APMGPK_01282	group_1348
APMGPK_01283	group_1402
APMGPK_01285	group_2664
APMGPK_01295	group_3956
APMGPK_01296	group_927
APMGPK_01297	group_929
APMGPK_01300	group_4121
APMGPK_01302	group_3704
APMGPK_01318	group_347
APMGPK_01323	group_48
APMGPK_01344	group_1300
APMGPK_01345	group_1417
HAALMC_00778	group_2264
HAALMC_00858	group_1635
HAALMC_00859	thyX
HAALMC_00860	osm28
HAALMC_00866	group_1796
HAALMC_00902	dbpA
HAALMC_00924	group_1503
HAALMC_00925	eppA
HAALMC_00926	BbK2-10
HAALMC_00927	group_4193
HAALMC_00929	group_63
HAALMC_00936	group_2214
HAALMC_00938	group_3566
HAALMC_00941	group_3756
HAALMC_00942	group_4241
HAALMC_00943	group_4449
HAALMC_00944	group_328
HAALMC_00945	group_1037
HAALMC_00946	group_1578
HAALMC_00947	group_775
HAALMC_00948	group_385
HAALMC_00949	group_39
HAALMC_00951	group_618
HAALMC_00956	group_3951
HAALMC_00957	group_3397
HAALMC_00959	group_3451
HAALMC_00960	group_1164
HAALMC_00963	group_3496
HAALMC_00964	group_459
HAALMC_00965	group_4409
HAALMC_00966	Phage protein
HAALMC_00967	mlpL
HAALMC_00968	Erp45 protein
HAALMC_00972	group_2728
HAALMC_00978	group_2727
HAALMC_00984	group_3771
HAALMC_00985	group_4252
HAALMC_00986	group_4457
HAALMC_00989	group_1218
HAALMC_00990	group_1261
HAALMC_00993	group_873
HAALMC_00994	group_614
HAALMC_00995	group_681
HAALMC_00996	group_4353
HAALMC_01000	group_3784
HAALMC_01005	group_498
HAALMC_01006	group_1739
HAALMC_01010	group_3843
HAALMC_01012	group_3757
HAALMC_01013	group_4245
HAALMC_01014	group_4450
HAALMC_01017	group_1579
HAALMC_01018	group_765
HAALMC_01020	group_37
HAALMC_01022	group_619
HAALMC_01023	group_675
HAALMC_01024	group_270
HAALMC_01026	group_3332
HAALMC_01027	group_3973
HAALMC_01033	group_511
HAALMC_01034	group_3502
HAALMC_01035	group_4418
HAALMC_01040	group_804
HAALMC_01041	group_44
HAALMC_01042	group_1223
HAALMC_01045	group_3718
HAALMC_01048	Mlp8
HAALMC_01049	group_1091
HAALMC_01050	group_1895
HAALMC_01051	group_1536
HAALMC_01052	group_1875
HAALMC_01053	group_2634
HAALMC_01054	Multidrug-efflux transporter-like protein
HAALMC_01055	group_2750
HAALMC_01056	group_2822
HAALMC_01057	group_2749
HAALMC_01058	Hemolysin accessory protein
HAALMC_01059	group_2748
HAALMC_01060	group_2185
HAALMC_01061	group_1543
HAALMC_01062	group_2747
HAALMC_01063	helix-turn-helix domain-containing protein
HAALMC_01064	group_2189
HAALMC_01065	group_2745
HAALMC_01067	group_2744
HAALMC_01068	group_2743
HAALMC_01069	group_2742
HAALMC_01070	group_2741
HAALMC_01071	group_2940
HAALMC_01072	group_2806
HAALMC_01073	group_2740
HAALMC_01074	group_2739
HAALMC_01075	Transposase-like protein
HAALMC_01076	group_2737
HAALMC_01077	group_2232
HAALMC_01078	group_1389
HAALMC_01079	Site-specific DNA-methyltransferase (adenine-specific)
HAALMC_01083	group_1826
HAALMC_01084	Borrelia virulent strain associated lipoprotein
HAALMC_01103	group_1601
HAALMC_01104	group_1607
HAALMC_01105	plasmid maintenance protein
HAALMC_01124	group_474
HAALMC_01125	group_471
HAALMC_01126	group_861
HAALMC_01127	group_1353
HAALMC_01128	group_1405
HAALMC_01129	group_1232
HAALMC_01130	group_2722
HAALMC_01131	group_2630
HAALMC_01132	group_1873
HAALMC_01133	group_795
HAALMC_01134	Antigen, P35-like protein
HAALMC_01135	Antigen, P35
HAALMC_01136	group_2204
HAALMC_01137	group_2627
HAALMC_01138	group_2181
HAALMC_01139	group_2626
HAALMC_01140	group_2625
HAALMC_01141	group_1186
HAALMC_01142	group_1654
HAALMC_01143	group_1079
HAALMC_01144	group_1755
HAALMC_01145	group_2039
HAALMC_01147	Glutamyl/glutaminyl-tRNA synthetase
HAALMC_01148	group_2623
HAALMC_01149	group_1867
HAALMC_01162	group_2721
HAALMC_01165	CRASP-2
HAALMC_01166	group_2201
HAALMC_01167	cdsC
HAALMC_01188	group_2203
HAALMC_01194	group_1205
HAALMC_01195	group_1547
HAALMC_01196	group_2821
HAALMC_01197	group_2233
HAALMC_01202	group_1898
HAALMC_01203	group_2234
HAALMC_01204	group_169
HAALMC_01205	variable large family protein
HAALMC_01207	group_2235
HAALMC_01209	group_2236
HAALMC_01210	group_173
HAALMC_01215	group_183
HAALMC_01216	group_1507
HAALMC_01219	DnaB-like helicase C-terminal domain-containing protein
HAALMC_01220	Type I restriction enzyme r protein
HAALMC_01221	P52 family lipoprotein
HAALMC_01228	group_2580
HAALMC_01229	Transposase, IS605 family
HAALMC_01230	Putative transposase DNA-binding domain protein
HAALMC_01231	group_2762
HAALMC_01232	group_479
HAALMC_01236	group_1777
HAALMC_01237	group_2336
HAALMC_01238	group_2335
HAALMC_01239	group_2334
HAALMC_01240	Methyl-accepting chemotaxis (MCP) signaling domain protein
HAALMC_01241	group_1774
HAALMC_01242	group_4335
HAALMC_01243	group_1772
HAALMC_01244	group_2055
HAALMC_01245	group_2051
HAALMC_01246	group_1595
HAALMC_01247	group_1765
HAALMC_01248	group_1470
HAALMC_01249	group_1465
HAALMC_01250	group_2332
HAALMC_01251	group_1762
HAALMC_01252	group_1892
HAALMC_01253	group_1115
HAALMC_01254	group_1345
HAALMC_01255	group_2048
HAALMC_01256	group_2047
HAALMC_01257	group_2046
HAALMC_01258	group_2330
HAALMC_01259	group_1761
HAALMC_01260	BBG30-like protein
HAALMC_01261	group_2045
HAALMC_01262	Bdr family repetitive protein
HAALMC_01263	group_3460
HAALMC_01264	group_3554
HAALMC_01265	group_2302
HAALMC_01266	Uncharacterized protein BBD24
HAALMC_01271	group_2581
HAALMC_01276	adenine deaminase C-terminal domain-containing protein
HAALMC_01277	Adenine deaminase
HAALMC_01278	group_2063
HAALMC_01279	CRASP family complement regulator-acquiring lipoprotein
HAALMC_01280	group_1140
HAALMC_01281	group_2202
HAALMC_01282	group_967
HAALMC_01285	group_3577
HAALMC_01286	group_4247
HAALMC_01291	ORF15/rep
HAALMC_01292	mlp9
HAALMC_01298	ORF23/BdrA
HAALMC_01300	ORF25
HAALMC_01301	group_823
HAALMC_01303	Erp47 protein
HAALMC_01304	elpB2
HAALMC_01305	group_993
HAALMC_01306	group_2735
HAALMC_01307	ORF32
HAALMC_01308	group_632
HAALMC_01309	ORF02
HAALMC_01310	ORF03
HAALMC_01311	ORF04
HAALMC_01312	group_147
HAALMC_01313	phage terminase large subunit
HAALMC_01314	terminase large subunit
HAALMC_01315	group_205
HAALMC_01320	group_3452
HAALMC_01324	group_939
HAALMC_01325	group_1329
HAALMC_01326	group_3748
HAALMC_01327	group_3228
HAALMC_01328	group_3865
HAALMC_01329	group_4312
HAALMC_01330	group_2215
HAALMC_01331	group_2216
HAALMC_01332	group_248
HAALMC_01334	group_4496
HAALMC_01338	group_79
HAALMC_01339	group_4203
HAALMC_01341	Erp43 protein
HAALMC_01342	group_2731
HAALMC_01343	group_2705
HAALMC_01344	mlp10
HAALMC_01345	group_262
HAALMC_01347	group_3719
HAALMC_01353	group_4187
HAALMC_01354	group_2209
HAALMC_01355	group_1662
HAALMC_01360	group_2723
HAALMC_01362	group_3811
HAALMC_01364	Bbk2-11
HAALMC_01370	group_1449
HAALMC_01371	group_157
HAALMC_01372	group_412
HAALMC_01373	group_1169
HAALMC_01375	group_941
HAALMC_01376	group_3750
HAALMC_01377	group_2205
HAALMC_01379	group_2730
HAALMC_01380	group_3873
HAALMC_01381	group_156
JKOCPB_00545	group_2262
JKOCPB_00853	group_2882
JKOCPB_00854	group_2566
JKOCPB_00856	group_2883
JKOCPB_00857	group_1500
JKOCPB_00858	group_3039
JKOCPB_00859	group_3040
JKOCPB_00861	group_1425
JKOCPB_00884	Arthropod-specific outer surface protein C
JKOCPB_00886	group_2246
JKOCPB_00887	group_2247
JKOCPB_00898	group_109
JKOCPB_00899	group_988
JKOCPB_00900	group_987
JKOCPB_00901	Outer surface protein F
JKOCPB_00902	ospE
JKOCPB_00904	group_821
JKOCPB_00905	group_46
JKOCPB_00906	group_2230
JKOCPB_00911	group_249
JKOCPB_00912	group_3012
JKOCPB_00914	group_906
JKOCPB_00915	group_3867
JKOCPB_00920	group_3138
JKOCPB_00923	group_773
JKOCPB_00925	group_15
JKOCPB_00926	group_33
JKOCPB_00927	group_892
JKOCPB_00928	group_637
JKOCPB_00932	group_926
JKOCPB_00933	group_2427
JKOCPB_00934	group_2109
JKOCPB_00936	group_225
JKOCPB_00938	group_2428
JKOCPB_00939	group_1805
JKOCPB_00941	group_420
JKOCPB_00942	group_2103
JKOCPB_00943	group_2889
JKOCPB_00944	group_2888
JKOCPB_00945	group_2104
JKOCPB_00948	group_622
JKOCPB_00949	group_2887
JKOCPB_00950	group_1623
JKOCPB_00951	group_2417
JKOCPB_00952	group_2418
JKOCPB_00953	group_2891
JKOCPB_00954	group_1806
JKOCPB_00955	group_2105
JKOCPB_00956	group_2106
JKOCPB_00957	group_2890
JKOCPB_00958	group_2515
JKOCPB_00959	group_1807
JKOCPB_00960	group_1808
JKOCPB_00961	BBA14 family lipoprotein
JKOCPB_00962	ERF family protein
JKOCPB_00963	group_2422
JKOCPB_00964	group_3711
JKOCPB_00965	group_2108
JKOCPB_00966	group_2423
JKOCPB_00967	group_2424
JKOCPB_00968	group_104
JKOCPB_00969	group_2425
JKOCPB_00970	group_975
JKOCPB_00971	group_783
JKOCPB_00974	group_4080
JKOCPB_00975	group_4437
JKOCPB_00979	group_3331
JKOCPB_00986	group_3283
JKOCPB_00989	group_114
JKOCPB_00991	group_2571
JKOCPB_00992	Erp27 protein
JKOCPB_00993	group_3347
JKOCPB_00996	group_1444
JKOCPB_00999	group_4492
JKOCPB_01000	group_836
JKOCPB_01001	group_240
JKOCPB_01002	group_2885
JKOCPB_01004	group_3642
JKOCPB_01006	group_3244
JKOCPB_01009	group_760
JKOCPB_01012	group_1446
JKOCPB_01013	group_4048
JKOCPB_01014	group_824
JKOCPB_01016	group_2701
JKOCPB_01017	group_1355
JKOCPB_01020	group_951
JKOCPB_01022	group_317
JKOCPB_01024	group_756
JKOCPB_01025	group_570
JKOCPB_01026	group_3761
JKOCPB_01028	group_1443
JKOCPB_01029	group_3648
JKOCPB_01030	group_695
JKOCPB_01031	group_2917
JKOCPB_01033	group_339
JKOCPB_01044	group_1266
JKOCPB_01051	group_3223
JKOCPB_01053	group_3643
JKOCPB_01054	group_2162
JKOCPB_01055	group_2240
JKOCPB_01056	group_236
JKOCPB_01059	group_2016
JKOCPB_01062	group_103
JKOCPB_01064	group_1107
JKOCPB_01067	group_1002
JKOCPB_01068	group_120
JKOCPB_01069	group_4404
JKOCPB_01077	group_574
JKOCPB_01078	group_3576
JKOCPB_01079	group_3131
JKOCPB_01081	group_970
JKOCPB_01083	group_397
JKOCPB_01084	group_29
JKOCPB_01085	group_886
JKOCPB_01087	group_4127
JKOCPB_01088	group_279
JKOCPB_01091	group_3952
JKOCPB_01092	group_3793
JKOCPB_01093	group_422
JKOCPB_01097	group_500
JKOCPB_01100	group_151
JKOCPB_01101	group_1000
JKOCPB_01103	group_1428
JKOCPB_01104	group_3809
JKOCPB_01105	group_4053
JKOCPB_01109	group_4297
JKOCPB_01110	group_338
JKOCPB_01112	group_2886
JKOCPB_01116	group_3874
JKOCPB_01117	group_851
JKOCPB_01118	group_2436
JKOCPB_01119	BBC02
JKOCPB_01122	group_2918
JKOCPB_01123	group_2919
JKOCPB_01139	group_2582
JKOCPB_01142	group_864
JKOCPB_01153	group_1523
JKOCPB_01157	cspZ
JKOCPB_01160	group_1272
JKOCPB_01162	group_1387
JKOCPB_01165	replicative DNA helicase
JKOCPB_01166	group_2226
JKOCPB_01167	group_2322
JKOCPB_01175	group_1752
JKOCPB_01176	group_1458
JKOCPB_01177	group_2317
JKOCPB_01178	group_866
JKOCPB_01179	group_1462
JKOCPB_01190	group_2050
JKOCPB_01194	group_1471
JKOCPB_01207	group_1283
JKOCPB_01208	group_1778
JKOCPB_01209	group_2058
JKOCPB_01210	group_1351
JKOCPB_01211	group_1403
JKOCPB_01212	group_1231
JKOCPB_01215	group_1235
JKOCPB_01233	group_2044
JKOCPB_01234	DNA helicase
JKOCPB_01235	group_2713
JKOCPB_01236	group_1276
JKOCPB_01237	group_1090
JKOCPB_01238	group_1535
JKOCPB_01239	group_1874
JKOCPB_01240	group_2633
JKOCPB_01241	group_2184
JKOCPB_01243	group_2746
JKOCPB_01256	orfB
JKOCPB_01258	group_2790
JKOCPB_01260	group_2228
JKOCPB_01261	group_789
JKOCPB_01262	group_790
JKOCPB_01263	group_1837
JKOCPB_01264	group_1636
JKOCPB_01265	group_1631
JKOCPB_01309	group_2714
GKLIPC_00493	group_2565
GKLIPC_00854	group_1210
GKLIPC_00856	group_1455
GKLIPC_00859	group_1382
GKLIPC_00860	group_2297
GKLIPC_00861	group_2687
GKLIPC_00866	group_1746
GKLIPC_00867	group_1269
GKLIPC_00868	group_86
GKLIPC_00871	group_2688
GKLIPC_00881	group_1313
GKLIPC_00882	group_1314
GKLIPC_00883	group_1009
GKLIPC_00884	group_1010
GKLIPC_00895	group_483
GKLIPC_00916	group_2690
GKLIPC_00930	group_2691
GKLIPC_00941	tnpB
GKLIPC_00942	group_1360
GKLIPC_00957	group_1487
GKLIPC_00974	tnpA
GKLIPC_00975	group_2188
GKLIPC_00976	group_1877
GKLIPC_00977	group_2635
GKLIPC_00978	group_2636
GKLIPC_00979	group_2637
GKLIPC_00980	group_2638
GKLIPC_00981	group_2639
GKLIPC_00982	group_2190
GKLIPC_00983	group_2692
GKLIPC_00984	group_2693
GKLIPC_00985	group_2694
GKLIPC_00986	group_2695
GKLIPC_00987	group_2696
GKLIPC_00991	group_976
GKLIPC_00992	group_1042
GKLIPC_00994	group_742
GKLIPC_00998	group_3848
GKLIPC_01000	group_2697
GKLIPC_01001	group_1811
GKLIPC_01003	group_245
GKLIPC_01009	group_4056
GKLIPC_01010	group_4199
GKLIPC_01011	group_1105
GKLIPC_01018	group_207
GKLIPC_01019	group_501
GKLIPC_01021	group_1155
GKLIPC_01023	group_526
GKLIPC_01029	group_4064
GKLIPC_01031	group_680
GKLIPC_01032	group_624
GKLIPC_01036	group_2698
GKLIPC_01038	group_383
GKLIPC_01042	group_3766
GKLIPC_01047	group_2797
GKLIPC_01048	group_4357
GKLIPC_01055	group_73
GKLIPC_01056	group_805
GKLIPC_01059	group_1559
GKLIPC_01063	group_3734
GKLIPC_01065	group_3758
GKLIPC_01069	group_2568
GKLIPC_01070	group_2699
GKLIPC_01071	group_2700
GKLIPC_01074	group_3724
GKLIPC_01078	group_71
GKLIPC_01079	group_802
GKLIPC_01080	group_1433
GKLIPC_01092	group_425
GKLIPC_01093	group_772
GKLIPC_01094	group_961
GKLIPC_01097	group_3740
GKLIPC_01098	group_566
GKLIPC_01101	group_3844
GKLIPC_01102	group_3646
GKLIPC_01104	group_2702
GKLIPC_01107	group_3712
GKLIPC_01109	group_2019
GKLIPC_01110	group_2022
GKLIPC_01111	group_95
GKLIPC_01114	group_2703
GKLIPC_01117	group_4036
GKLIPC_01119	group_201
GKLIPC_01120	group_506
GKLIPC_01125	group_2569
GKLIPC_01126	group_2704
GKLIPC_01135	group_1430
GKLIPC_01136	group_2180
GKLIPC_01138	group_1504
GKLIPC_01140	group_111
GKLIPC_01141	group_3517
GKLIPC_01143	group_3412
GKLIPC_01149	group_3789
GKLIPC_01153	group_278
GKLIPC_01156	group_644
GKLIPC_01157	group_27
GKLIPC_01161	group_977
GKLIPC_01162	group_1046
GKLIPC_01163	group_332
GKLIPC_01165	group_556
GKLIPC_01167	group_848
GKLIPC_01168	group_3863
GKLIPC_01170	group_2706
GKLIPC_01171	group_2708
GKLIPC_01179	group_4205
GKLIPC_01180	group_1106
GKLIPC_01181	Regulator
GKLIPC_01182	group_2710
GKLIPC_01183	group_984
GKLIPC_01185	group_4029
GKLIPC_01202	group_2711
GKLIPC_01213	group_1277
CLLBDG_00209	putative UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY
CLLBDG_00853	group_1081
CLLBDG_00854	group_1754
CLLBDG_00855	group_2038
CLLBDG_00856	group_1751
CLLBDG_00857	group_1459
CLLBDG_00858	group_2765
CLLBDG_00877	group_2766
CLLBDG_00887	group_905
CLLBDG_00888	group_2767
CLLBDG_00889	group_2768
CLLBDG_00890	group_2769
CLLBDG_00892	group_360
CLLBDG_00893	group_1016
CLLBDG_00897	group_101
CLLBDG_00902	Terminase small subunit
CLLBDG_00904	group_214
CLLBDG_00905	group_3282
CLLBDG_00906	group_3416
CLLBDG_00911	group_2770
CLLBDG_00913	group_605
CLLBDG_00914	group_266
CLLBDG_00916	group_625
CLLBDG_00918	group_20
CLLBDG_00921	group_1215
CLLBDG_00924	group_4458
CLLBDG_00925	group_4249
CLLBDG_00926	group_3772
CLLBDG_00927	group_3225
CLLBDG_00931	ORF17/2-9-9 lipoprotein
CLLBDG_00937	group_2772
CLLBDG_00938	group_78
CLLBDG_00940	group_1437
CLLBDG_00945	group_431
CLLBDG_00948	group_3268
CLLBDG_00949	group_3190
CLLBDG_00950	group_3895
CLLBDG_00958	group_668
CLLBDG_00965	group_3474
CLLBDG_00966	group_3136
CLLBDG_00968	group_4244
CLLBDG_00982	group_4201
CLLBDG_00984	group_2274
CLLBDG_00987	group_106
CLLBDG_00988	group_4027
CLLBDG_01012	group_3745
CLLBDG_01013	group_3217
CLLBDG_01019	group_1178
CLLBDG_01043	group_685
CLLBDG_01048	group_776
CLLBDG_01055	group_3224
CLLBDG_01062	group_4493
CLLBDG_01066	group_60
CLLBDG_01072	group_112
CLLBDG_01073	group_443
CLLBDG_01077	group_648
CLLBDG_01078	group_1157
CLLBDG_01079	group_525
CLLBDG_01080	group_3543
CLLBDG_01081	group_728
CLLBDG_01103	group_434
CLLBDG_01105	group_210
CLLBDG_01106	group_3270
CLLBDG_01108	group_3897
CLLBDG_01109	group_3447
CLLBDG_01110	group_3630
CLLBDG_01111	group_3393
CLLBDG_01112	group_3983
CLLBDG_01113	group_934
CLLBDG_01116	group_671
CLLBDG_01118	group_4076
CLLBDG_01120	group_375
CLLBDG_01121	group_770
CLLBDG_01123	group_3473
CLLBDG_01125	group_3582
CLLBDG_01126	group_4242
CLLBDG_01128	group_3250
CLLBDG_01129	group_3868
CLLBDG_01142	group_2206
CLLBDG_01145	group_155
CLLBDG_01199	group_1464
CLLBDG_01225	group_1145
CLLBDG_01231	group_2040
CLLBDG_01247	group_1196
CLLBDG_01248	group_2225
CLLBDG_01277	group_1275
CLLBDG_01279	group_2774
CLLBDG_01290	group_2049
CLLBDG_01294	group_1472
CLLBDG_01298	group_2057
CLLBDG_01302	group_1117
CLLBDG_01303	group_2775
CLLBDG_01304	group_2776
CLLBDG_01305	group_1206
CLLBDG_01306	group_1499
CLLBDG_01307	group_1201
CLLBDG_01308	group_1281
CLLBDG_01309	group_1280
CLLBDG_01330	group_475
KGIAJM_00899	group_1410
KGIAJM_00920	group_1871
KGIAJM_00921	group_2622
KGIAJM_00922	group_1861
KGIAJM_00923	group_1749
KGIAJM_00924	group_2043
KGIAJM_00925	group_1756
KGIAJM_01047	group_3272
KGIAJM_01061	group_361
KGIAJM_01069	group_4246
KGIAJM_01072	group_3471
KGIAJM_01073	group_981
KGIAJM_01084	group_3621
KGIAJM_01085	group_550
KGIAJM_01086	group_4398
KGIAJM_01087	group_3418
KGIAJM_01088	group_3280
KGIAJM_01089	group_3499
KGIAJM_01090	group_4416
KGIAJM_01091	group_126
KGIAJM_01097	group_70
KGIAJM_01101	group_3713
KGIAJM_01103	Erf family protein
KGIAJM_01107	group_3864
KGIAJM_01112	group_3133
KGIAJM_01118	group_16
KGIAJM_01131	group_3271
KGIAJM_01132	group_3507
KGIAJM_01153	group_4238
KGIAJM_01166	group_3392
KGIAJM_01174	group_129
KGIAJM_01175	group_1377
KGIAJM_01176	group_1663
KGIAJM_01177	group_2211
KGIAJM_01180	group_62
KGIAJM_01185	group_1130
KGIAJM_01193	group_4248
KGIAJM_01225	group_365
KGIAJM_01241	group_647
KGIAJM_01278	group_3622
KGIAJM_01279	group_548
KGIAJM_01280	group_4400
KGIAJM_01281	group_3420
KGIAJM_01284	group_4417
KGIAJM_01285	group_141
KGIAJM_01299	group_696
KGIAJM_01307	group_3469
KGIAJM_01308	group_968
KGIAJM_01323	group_616
KGIAJM_01328	group_3963
KGIAJM_01336	group_4410
KGIAJM_01443	group_1139
KGIAJM_01447	group_301
KGIAJM_01448	group_4460
KGIAJM_01449	group_4251
KGIAJM_01450	group_3775
KGIAJM_01472	group_620
KGIAJM_01473	group_884
KGIAJM_01475	group_396
KGIAJM_01476	group_925
KGIAJM_01507	group_2801
KGIAJM_01513	group_85
KGIAJM_01514	group_1270
KGIAJM_01515	group_2219
KGIAJM_01516	group_2218
KGIAJM_01517	group_1388
OLCIOJ_00345	group_1713
OLCIOJ_00648	group_2999
OLCIOJ_00759	group_1509
OLCIOJ_00797	group_1675
OLCIOJ_00871	group_3641
OLCIOJ_00872	group_3860
OLCIOJ_00873	group_3215
OLCIOJ_00875	group_1324
OLCIOJ_00876	group_740
OLCIOJ_00877	group_300
OLCIOJ_00878	group_302
OLCIOJ_00879	group_1052
OLCIOJ_00881	group_919
OLCIOJ_00888	group_4345
OLCIOJ_00896	group_508
